sim,gal_number,r_kpc,r_over_Reff,gtot_tree,gbar_tree,gtot_sph,gbar_sph,gobs,vtot_tree_km_s,vbar_tree_km_s,vtot_sph_km_s,vobs_km_s,rar_residual,stellar_surf_dens_Msun_kpc2,Mstar_Msun,MHI_Msun,R_half_kpc,z_half_kpc,gas_r_half_kpc,morphology_z_over_r
TNG,220600,0.2695807155149918,0.1057640223990386,8.528324388501993e-11,3.5260814937424085e-11,5.541125628663691e-10,3.5041044856615445e-10,5.353815174963765e-10,26.636320215820827,17.127285784203558,67.89555926428432,66.73813388765834,0.0973287523943859,963216418.7419472,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,0.8087421465449756,0.317292067197116,1.8507299070164274e-10,7.538378786412804e-11,6.351108660261767e-10,3.1967948470159755e-10,5.35560096411679e-10,67.963309770099,43.37524861337438,125.90059153194532,115.61311551105985,0.1296174082049539,552748463.572068,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,1.3479035775749593,0.5288201119951933,2.5155386050886337e-10,1.0050485061411567e-10,5.202843427517866e-10,2.325119490751272e-10,4.98332566603668e-10,102.29228199487385,64.65779427276813,147.1118822451785,143.9749739880319,0.2069547756377865,256894405.4150916,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,1.887065008604943,0.7403481567932706,2.7427120199405953e-10,1.0647231896864466e-10,3.9580056513020175e-10,1.603734847408581e-10,3.61611033751935e-10,126.38091537229862,78.74259956708224,151.82021310281175,145.11497403813377,0.1889722829218652,138501618.7379785,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,2.4262264396349265,0.951876201591348,2.621210161581045e-10,9.847810509944779e-11,3.1705830626990876e-10,1.2055971934293858e-10,2.447416803582153e-10,140.09239109180638,85.86841926060947,154.0753610365221,135.36849332740624,0.1088933085501651,99047952.3461138,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,2.9653878706649106,1.1634042463894254,2.3894231543587835e-10,8.716509150260586e-11,2.6639775984284125e-10,9.660081956100874e-11,1.9313503956947702e-10,147.87176212275597,89.31204003375888,156.1363413305973,132.94415584525555,0.0734214143525768,73772022.29352368,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,3.504549301694894,1.3749322911875026,2.152695103846889e-10,7.651421546494112e-11,2.292520554384256e-10,7.970332389633881e-11,1.5693168287154556e-10,152.58270483714557,90.96725979189613,157.4601522177996,130.27748436899097,0.0403640380013339,56449681.40575685,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,4.043710732724878,1.58646033598558,1.9428854703728207e-10,6.734181712779812e-11,2.0007258813384703e-10,6.679539689056909e-11,1.3305870733933594e-10,155.70824202430504,91.67067237176649,158.0089897338528,128.85748516192075,0.0200974348658533,44069166.40541645,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,4.582872163754861,1.7979883807836572,1.7571557394760708e-10,5.924206949477609e-11,1.7692521071309756e-10,5.6509079044045e-11,1.0555823082619842e-10,157.6420087042221,91.53389498522682,158.1836866851161,122.18359065802264,-0.032681981308821,31863999.343320385,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,5.122033594784845,2.009516425581735,1.5950793087673368e-10,5.1969576357788886e-11,1.5784342338911123e-10,4.8135598930790994e-11,7.53959433906027e-11,158.78530694261605,90.63454533515171,157.95465087276497,109.16744902203251,-0.1337710772425406,23254983.47241025,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,5.661195025814829,2.221044470379812,1.4451683639526548e-10,4.5173621543098033e-11,1.4201199503859483e-10,4.1348984925078317e-11,6.801533087433847e-11,158.8953697765291,88.83712058307482,157.51232184653344,109.00726081403066,-0.136465267957254,16947092.59726595,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,6.200356456844813,2.432572515177889,1.3190008583006434e-10,3.950652582779737e-11,1.2883481494778898e-10,3.583873980969073e-11,5.986146556619096e-11,158.86522009880792,86.94421879383377,157.0084075131772,107.02370027844188,-0.152898424580373,12691282.787818192,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,6.739517887874796,2.6441005599759664,1.2085407650630472e-10,3.469788894126739e-11,1.179216938930182e-10,3.1361415112619126e-11,4.653134621286823e-11,158.5415238165717,84.95010154719851,156.60630055979482,98.37509952718392,-0.2263337410254315,10005518.8947082,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
TNG,220600,7.27867931890478,2.855628604774044,1.1118327143136796e-10,3.0634220936042307e-11,1.0849824235399344e-10,2.767641756355056e-11,1.61608752138036e-11,158.0316148644736,82.95215517310535,156.1117546751657,60.24995019143444,-0.6522993909877055,7504256.392369893,10100492288.0,456875296.0,2.54888864284952,0.3056215646065912,3.2349685861799027,0.1199038512192211
