gal_number,mean_v_sig_ratio,mean_sig_v,mean_sig_v_z,max_v_rot,mean_v_rot
1,5.841279929161516,42.19945660605307,38.9066952094254,250.15275449472622,223.35282718800246
2,10.429383406804858,25.46017788174635,21.209863054858122,260.3641141405007,250.4012154364043
3,1.0892849909297662,233.03334212880836,247.40025789041962,-183.80349203343548,-245.0542790398204
4,0.6180919607770172,30.141994970979088,23.17354966270594,43.10018264168959,19.504920530528594
5,3.6190848056983422,98.44354680914854,99.49538631299895,374.68233652240616,346.0024671047354
6,0.0,0.0,0.0,0.0,0.0
7,6.560451209533556,38.27695202537317,37.32037827408322,247.552630846762,243.26270718268324
8,4.847849477382649,30.30265055136545,26.908793641516443,168.3415848914891,132.89655590130556
9,7.207649990162896,72.70543140695163,64.61331720690974,419.1010483587047,399.9908968277393
11,5.080241542010333,38.88052600047059,33.0002663506413,203.36803631354914,194.49244061045763
12,2.522663036273602,34.962303320647244,24.01928673155446,129.15117011703637,89.90498678766384
13,2.6100283359408714,31.54732584510521,26.520395787567594,99.34891611563377,76.86399843849483
14,7.419574789269176,46.23349558144946,45.381951794017915,400.98173015971065,337.6601493871639
15,1.4312652282140998,31.36173542387439,23.129564431152634,71.78235022950814,40.88026142176938
16,1.5846765461477592,29.296896274287295,25.849769095533883,83.10377364747106,49.8307925457947
17,1.2817089708299303,10.241326926722964,7.057275823348377,-0.9917589269200578,-11.370341670644466
18,3.0832765554114268,23.213084754288076,21.243144107961516,107.6923705823916,67.51107628370357
19,0.4222846493231083,52.355741879251845,52.17539172887555,60.3202920671054,22.665017474363975
20,3.547938892077507,18.11491474506472,13.087004370254315,91.420364482192,58.070862152940805
21,2.8711889017218315,12.45538034632614,10.310292498288412,53.464807541779635,34.08734507273655
22,2.1912473281337648,43.33225736775314,40.52137220774905,103.71302143363991,72.29188338199032
23,4.107223048970794,46.06223656366229,28.636590097977983,189.72332352462593,181.02339591114776
24,1.0037263943851633,69.9694715752998,67.7185924071453,182.10282361737114,70.236783433391
25,2.7764096297908716,21.138252702479797,19.009508939594134,93.9922316865507,53.94511914793251
26,2.944992075210884,29.936440738453996,23.146045446340494,118.40473919617187,78.01133657090206
27,7.514179951142054,22.04249210098447,19.568431243174178,180.79673626031334,162.4017494373234
28,1.7323645564491106,81.80862726985048,82.97783957561829,172.72584585444122,141.3187495375433
29,1.903109234523704,47.931689336454575,47.626014636449334,121.7615530917319,83.2364066600972
