galaxy,COM_dm, dm_r_vir
493,1.7598379855960797,76.00518798828125
804,1.038712253723936,49.067832946777344
539,0.789975219659556,61.426334381103516
629,1.2112860539783852,56.932613372802734
561,0.6864176324520387,65.4627685546875
617,2.2905062954598314,48.87006378173828
496,1.8783871456460306,51.429656982421875
713,3.8260891822588046,61.832183837890625
165,1.4782385627508892,66.79215240478516
758,1.7649544385655618,100.53436279296875
177,0.4589960996354867,67.36965942382812
39,2.2915088088103817,84.84709167480469
516,2.641358203288734,35.290000915527344
964,1.1603429874115065,62.340755462646484
21,1.0600668634861077,72.8755111694336
504,2.1159080883343626,79.24565887451172
391,1.636918624856823,76.80256652832031
312,2.574483675995045,90.7358169555664
693,2.8725056194690026,74.09419250488281
999,3.7635016177948275,57.26150131225586
943,3.659929040138493,59.66569900512695
197,9.103574160731899,111.02618408203125
608,1.3407410979147019,59.33579635620117
475,3.9329007361650175,78.62425994873047
570,2.577060355781207,67.28868103027344
114,6.041480030999871,129.35040283203125
1014,1.428850147446628,48.51036834716797
74,1.6535329690024267,97.11505889892578
375,6.014093952769802,58.6086540222168
247,3.6169214317955016,110.6783218383789
184,1.3654990685000667,31.262948989868164
339,3.7049881863479146,106.27897644042969
134,2.345302423798202,42.17053985595703
100,0.7816817854749828,73.1792221069336
427,13.250206836683484,99.06426239013672
480,2.336710232575559,60.24789047241211
83,0.9921736178577645,30.560256958007812
16,4.612035928019006,107.90357971191406
156,5.180751201564805,70.88760375976562
25,3.640796964697069,89.28861999511719
149,1.7581415211242266,99.96820831298828
407,2.2439310624748203,61.377418518066406
61,2.1071139815778004,81.8656234741211
383,3.0509900970275843,45.68635940551758
220,0.46567501288444607,101.33155822753906
241,14.01711386823646,89.88563537597656
189,3.827885275401322,111.18350982666016
12,6.232920648753178,129.88470458984375
256,3.268668406100777,94.68958282470703
110,1.8672708534443656,98.94027709960938
92,9.410312755193194,107.31181335449219
50,0.791311319869043,89.86483764648438
123,5.693547895831815,107.8317642211914
34,2.06102459194508,110.38428497314453
433,1.9674602351804322,96.59903717041016
69,5.378721306616226,172.5529327392578
53,2.1702419258597443,127.90070343017578
261,2.7298837768840287,128.3063507080078
657,3.9554083868389864,66.08502960205078
499,2.8522890915796952,72.24053192138672
779,1.6517189086108421,67.76789855957031
968,3.5150795876907295,72.40333557128906
166,2.975078286385405,59.1197395324707
697,0.8242320609549368,43.141082763671875
1011,1.5272328961533719,41.820762634277344
1075,1.1878078112410209,77.66759490966797
598,4.043292516719353,80.34793853759766
395,1.4673862229772319,59.21035385131836
77,1.7782999400823045,84.1262435913086
322,1.8273354042009637,83.94202423095703
752,12.078120121015585,197.90625
494,1.3581491816195481,56.60737991333008
924,0.7536437294545767,48.81987380981445
563,1.245990414204282,64.47016906738281
547,2.9966384411946576,52.521183013916016
619,1.823237653025944,64.21041107177734
535,1.7502535251127769,56.84238052368164
508,2.2072280920733935,78.58514404296875
945,1.0213703262349034,45.73622131347656
610,2.0292735690723998,51.29558181762695
198,2.573199850162067,110.17803955078125
152,2.6660572243187874,90.96614074707031
378,1.0831376116336695,61.38169860839844
8,16.859405326371416,177.80992126464844
187,3.8046865337639018,74.16358947753906
352,0.4625536225756396,78.95072174072266
430,0.7600140392841124,61.334373474121094
106,6.054954709351628,124.07161712646484
64,1.6891029678707867,96.10797119140625
488,2.218876704348968,104.81626892089844
243,1.4965685820446413,68.03470611572266
191,0.7504316883628352,70.87593078613281
228,3.2725276975605615,89.83920288085938
18,7.811355600489153,110.43463134765625
179,4.137964592722288,116.65259552001953
13,7.2648806526250365,117.63150024414062
71,0.9607380178309811,31.00580406188965
124,0.647116121927225,57.07958221435547
478,2.715246471588373,81.7313232421875
259,8.092905941867121,108.65774536132812
22,7.644211116166087,117.34239959716797
280,0.44102152568398467,53.79954147338867
253,2.3144026988096247,40.125892639160156
439,0.7681983400221856,80.0342025756836
137,3.1892768042394053,100.88397979736328
413,11.921432669464465,67.74105834960938
387,2.5315937404123403,71.70538330078125
159,3.0684827311866867,118.3239974975586
54,1.6119581700648498,124.42815399169922
112,2.7922431924978386,118.36139678955078
89,5.042899192338931,105.8341064453125
47,22.247733547326632,166.06619262695312
51,1.7875989874096527,136.65185546875
95,3.142447712790206,92.18772888183594
1,10.407460374762964,232.84323120117188
396,2.4313614437030178,76.05181121826172
117,7.829240102731909,181.5224151611328
36,8.430390118330152,151.1043243408203
328,5.9021360151452305,88.86347961425781
169,1.402218790949043,90.9684066772461
188,2.485038898855668,90.14983367919922
200,1.815781556282867,69.11530303955078
362,2.701382389300699,67.90127563476562
80,2.984500931170303,82.88517761230469
27,8.913004163519698,189.1636199951172
379,3.010061099242746,82.72303771972656
193,4.162332106095598,112.1070327758789
246,1.1709563862746797,31.10052490234375
233,1.273513519420607,72.07848358154297
155,0.8710287092211455,33.780330657958984
260,1.1256674132147237,68.1724853515625
255,2.8185304072839057,89.4668197631836
182,5.363596210264598,83.67769622802734
388,1.3009948085603205,71.23738098144531
290,5.441959600477804,89.73201751708984
161,2.227826446208546,119.26644897460938
66,5.9731706123368715,146.70211791992188
108,1.5924881398873565,63.762107849121094
132,2.6201604604638216,38.02998352050781
72,0.790497236231053,75.92811584472656
20,3.6783573995922647,88.02576446533203
147,2.4823578605211196,99.19427490234375
52,3.376630345317994,76.85860443115234
96,2.8676563559060435,85.46984100341797
49,15.727654396032303,102.80389404296875
57,3.572305146420701,135.44515991210938
120,3.309871260689449,114.71873474121094
113,6.853269903382155,133.70130920410156
90,7.801101749972685,139.98123168945312
31,3.554438332992387,91.79292297363281
23,0.81117108540516,70.46266174316406
38,12.723106628142057,197.90625
2,3.888825732121123,260.9737854003906
9,3.4015383386828937,331.58148193359375
14,39.805005808935256,373.8741455078125
7,8.305508018142389,261.17449951171875
11,13.42794051577423,136.18284606933594
