,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar
0,1.2743643016577454e-10,9.899727377114267e-11,8.689687647667645e-16,0.20436393054689167,2.732223537319842e-10
1,1.099329378729767e-10,5.855575436849736e-11,1.4634347232489571e-15,0.6130917916406751,1.9189468050711076e-10
2,9.068470191224359e-11,3.3286217125950814e-11,1.7305741645996192e-15,1.0218196527344583,1.2820884689771966e-10
3,7.822279010899138e-11,2.2182863030022937e-11,1.8769754391497117e-15,1.4305475138282417,9.777030975476523e-11
4,5.967966296745277e-11,1.641296937807926e-11,1.858141024664088e-15,1.839275374922025,7.873422243772043e-11
5,4.854279993988932e-11,1.304257477511644e-11,1.8394199807951886e-15,2.2480032360158084,6.721172901771493e-11
6,3.797585485356297e-11,1.0699320431926118e-11,1.7190608697403315e-15,2.656731097109592,5.854811815224699e-11
7,3.10164241128758e-11,8.916593051669693e-12,1.6906470428248538e-15,3.065458958203375,5.2005592712483185e-11
8,2.7259781834024577e-11,7.566064825834596e-12,1.7184940783768405e-15,3.4741868192971586,4.661651378257494e-11
9,2.0026959409497837e-11,6.464742662484491e-12,1.5479456229822187e-15,3.8829146803909413,4.207861897504548e-11
10,1.2937102715290294e-11,5.606898109144768e-12,1.2848066688184913e-15,4.291642541484725,3.8217054114795276e-11
11,9.791455960887162e-12,4.942386036430852e-12,1.1942827004067685e-15,4.700370402578509,3.514586691485195e-11
12,9.350075368225802e-12,4.433740115386102e-12,1.2111370990787522e-15,5.109098263672292,3.246114849584533e-11
13,9.259860240723244e-12,4.013507651569243e-12,1.235625289128514e-15,5.517826124766075,3.030467464201788e-11
14,7.896362818638409e-12,3.6314583162452818e-12,1.1981713503751578e-15,5.926553985859858,2.837507719009681e-11
15,8.182364726671855e-12,3.315588994609105e-12,1.2790044106080077e-15,6.335281846953642,2.663708100343323e-11
16,8.674059427488396e-13,2.8230260702223846e-12,4.153269339483863e-16,6.744009708047425,2.3985059005649017e-11
17,,,,7.152737569141209,
18,,,,7.561465430234992,
19,,,,7.9701932913287745,
20,,,,8.378921152422558,
21,,,,8.787649013516342,
22,,,,9.196376874610126,
23,,,,9.60510473570391,
24,,,,10.013832596797691,
25,,,,10.422560457891475,
26,,,,10.831288318985258,
27,,,,11.240016180079042,
28,,,,11.648744041172826,
29,,,,12.05747190226661,
