,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,1.0548270285625641e-10,9.930086896229398e-11,7.897664432804539e-16,0.13053720983852476,2.171001131873899e-10,1.4745481201725892e-10
1,1.2032735998920432e-10,9.842016327320831e-11,1.1301020638970494e-15,0.39161162951557427,2.4648726886169704e-10,1.0064117011497655e-10
2,9.777075849355599e-11,5.556928564816752e-11,1.4202046343907476e-15,0.6526860491926239,1.7704975625529773e-10,9.536597268839067e-11
3,1.0512772112844254e-10,3.558124569108218e-11,1.7651185393232629e-15,0.9137604688696733,1.4256219197713874e-10,1.052231524401347e-10
4,9.123529035957533e-11,2.5541600558505105e-11,1.866725780275264e-15,1.174834888546723,1.1866299385218628e-10,9.153351439424178e-11
5,6.763627322295268e-11,2.00314099216679e-11,1.7626773002027822e-15,1.4359093082237724,1.0187024436523923e-10,6.677509803576105e-11
6,4.759483685758243e-11,1.6394394212187357e-11,1.597282561534483e-15,1.6969837279008217,8.903871364463838e-11,4.639612867640587e-11
7,3.638073857744692e-11,1.3704791995931477e-11,1.4968375949759436e-15,1.9580581475778716,7.937787065142246e-11,3.531178747335027e-11
8,3.12394349005984e-11,1.169985898002175e-11,1.4742198037262562e-15,2.219132567254921,7.117268243233286e-11,3.022297114924763e-11
9,2.3604048567848943e-11,1.0126505977859201e-11,1.3465473432849e-15,2.4802069869319707,6.469227431654414e-11,2.2560631394508697e-11
10,,,,2.74128140660902,,
11,,,,3.0023558262860695,,
12,,,,3.263430245963119,,
13,,,,3.5245046656401686,,
14,,,,3.7855790853172184,,
15,,,,4.046653504994268,,
16,,,,4.307727924671317,,
17,,,,4.5688023443483665,,
18,,,,4.829876764025416,,
19,,,,5.090951183702466,,
20,,,,5.3520256033795155,,
21,,,,5.613100023056565,,
22,,,,5.874174442733614,,
23,,,,6.135248862410664,,
24,,,,6.396323282087714,,
25,,,,6.657397701764763,,
26,,,,6.918472121441813,,
27,,,,7.179546541118862,,
28,,,,7.440620960795911,,
29,,,,7.701695380472961,,
