,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,1.4944902182088896e-10,1.2743881166531162e-10,1.060746361981368e-15,0.18053703442239755,3.295162685057592e-10,1.9233251887085504e-10
1,1.6105607344001975e-10,6.109933866840302e-11,1.6975860052514287e-15,0.5416111032671926,2.3238404018078245e-10,1.6419953969035624e-10
2,1.094775948868236e-10,3.7653958750395075e-11,1.715720265012682e-15,0.9026851721119877,1.7252622708733386e-10,1.0063581658774864e-10
3,9.337465870571122e-11,2.805127562296187e-11,1.848631273889252e-15,1.2637592409567828,1.383788900573287e-10,8.345111988961327e-11
4,8.168993533721385e-11,2.2618264663513223e-11,2.0097118904894804e-15,1.624833309801578,1.1597068417275703e-10,7.671048208486778e-11
5,6.519523472897769e-11,1.9042461580094802e-11,2.0078410512624686e-15,1.985907378646373,9.917360896790866e-11,6.264632381283508e-11
6,5.299911849092148e-11,1.6166532615439917e-11,1.9615763657441677e-15,2.346981447491168,8.612211544839961e-11,5.0593730797296966e-11
7,4.1343545834015994e-11,1.3764610406696943e-11,1.844830771426919e-15,2.708055516335963,7.569226278870079e-11,3.8783895351189107e-11
8,3.3635470835809226e-11,1.1720720453110375e-11,1.7690659022463579e-15,3.0691295851807583,6.757920481553168e-11,3.146796943479841e-11
9,2.7119336423222912e-11,9.994450752792455e-12,1.6718751457613336e-15,3.4302036540255534,6.065109222220107e-11,2.51468562753692e-11
10,2.140123030934421e-11,8.59207590816775e-12,1.5303074405485103e-15,3.7912777228703485,5.505178016307339e-11,1.906196651957849e-11
11,1.3694980475333464e-11,7.44692253562301e-12,1.238536630523807e-15,4.152351791715144,5.0387245212512076e-11,1.1400384335488355e-11
12,1.1729432664419057e-11,6.531741961504168e-12,1.252543520490773e-15,4.513425860559939,4.649457982627109e-11,1.0726925344580337e-11
13,7.14594706099045e-12,5.793908522903657e-12,9.971647476305067e-16,4.874499929404734,4.308630064947186e-11,6.295057286097085e-12
14,1.7613477079280953e-11,5.198988110963808e-12,1.6972408449234223e-15,5.235573998249529,4.012917667574035e-11,1.6979252585809035e-11
15,2.1558425236645936e-11,4.706097704264525e-12,1.9659790907283346e-15,5.596648067094324,3.737934192756271e-11,2.131207386649415e-11
16,1.3763573707368143e-11,4.2969366337832975e-12,1.5889899293094592e-15,5.957722135939119,3.4920034907702374e-11,1.3078500913874603e-11
17,1.78180976394911e-11,3.9507722337514915e-12,1.8949587587109975e-15,6.318796204783914,3.2856685768502865e-11,1.7537234056096705e-11
18,1.8106510827217103e-11,3.6573270027028466e-12,1.972675904882599e-15,6.679870273628709,3.087793152321895e-11,1.7977917092093548e-11
19,1.8298397497605978e-11,3.393107269063957e-12,2.0406017048374143e-15,7.040944342473504,2.912839041409926e-11,1.8250782971210487e-11
20,,,,7.402018411318299,,
21,,,,7.7630924801630945,,
22,,,,8.124166549007889,,
23,,,,8.485240617852686,,
24,,,,8.846314686697479,,
25,,,,9.207388755542276,,
26,,,,9.568462824387069,,
27,,,,9.929536893231866,,
28,,,,10.29061096207666,,
29,,,,10.651685030921456,,
