,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar
0,6.145832588912101e-12,1.528636243836119e-12,-1.6589987754746565e-16,0.027145708498792456,2.5363728987416293e-11
1,4.396884295962223e-11,1.9499038074147858e-12,4.502829325571344e-16,0.08143712549637737,5.2330201880579866e-11
2,2.9559338545079374e-11,3.295592751305598e-12,3.79928428052274e-16,0.13572854249396227,5.6893023523906516e-11
3,5.379443313165712e-12,2.790396046108574e-12,-1.763625484380011e-16,0.1900199594915472,5.977512190885928e-11
4,1.9451536633052143e-11,3.1984180997962564e-12,2.560815612096414e-16,0.2443113764891321,7.522754452270338e-11
5,1.6741730374611584e-11,3.2579061674223495e-12,2.1158831406271093e-16,0.29860279348671703,7.551985400907017e-11
6,1.5318608796380197e-12,2.9744423854163896e-12,-9.038377984386034e-17,0.3528942104843019,7.808502876224466e-11
7,2.0524276698740512e-11,2.9036208560800212e-12,4.72302105133403e-16,0.40718562748188686,7.529552303533521e-11
8,,,,0.46147704447947174,
9,,,,0.5157684614770566,
10,,,,0.5700598784746416,
11,,,,0.6243512954722266,
12,,,,0.6786427124698113,
13,,,,0.7329341294673963,
14,,,,0.7872255464649813,
15,,,,0.8415169634625661,
16,,,,0.8958083804601511,
17,,,,0.9500997974577359,
18,,,,1.0043912144553209,
19,,,,1.0586826314529056,
20,,,,1.1129740484504906,
21,,,,1.1672654654480756,
22,,,,1.2215568824456606,
23,,,,1.2758482994432454,
24,,,,1.3301397164408304,
25,,,,1.3844311334384152,
26,,,,1.4387225504360002,
27,,,,1.4930139674335852,
28,,,,1.5473053844311702,
29,,,,1.601596801428755,
