,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar
0,2.897022082456501e-11,3.01857096462832e-11,5.622962186717652e-17,0.09545172190599453,6.460989304913301e-11
1,8.275965053252873e-12,3.299929080360036e-11,2.140702113592247e-16,0.2863551657179836,1.4315667769271978e-10
2,1.772262594934701e-11,2.4472633613660825e-11,4.695606297115955e-16,0.4772586095299727,1.33528446633889e-10
3,7.404904833002056e-11,1.657187745160477e-11,1.1693388738850068e-15,0.6681620533419617,1.1576972840022506e-10
4,1.1396220332009318e-10,1.2240174309990881e-11,1.7150400588024267e-15,0.8590654971539509,9.927810962978889e-11
5,1.4184041635031448e-10,9.114245170611562e-12,2.155035919537157e-15,1.0499689409659398,8.467675022678434e-11
6,8.133148689839777e-11,7.039103373777914e-12,1.7763347180039637e-15,1.240872384777929,7.560229942939472e-11
7,6.700383903610698e-11,5.57090439316295e-12,1.7303965447371528e-15,1.431775828589918,6.793222508205888e-11
8,3.989905199106759e-11,4.517467614852919e-12,1.437684199262734e-15,1.622679272401907,6.176405081004191e-11
9,2.195932863129812e-11,3.736376836367431e-12,1.1489168123990796e-15,1.813582716213896,5.6030621097095516e-11
10,1.1589289446893367e-11,3.155706333392933e-12,8.515399680686811e-16,2.004486160025885,5.0615804993104245e-11
11,1.0751259206284921e-11,2.689167866824128e-12,6.707697493163979e-16,2.1953896038378744,4.661416559257766e-11
12,9.083608056750055e-12,2.336201998480733e-12,6.600971295000691e-16,2.386293047649863,4.33477971372999e-11
13,9.621848600195747e-12,2.06101028975881e-12,6.953714800294799e-16,2.5771964914618524,4.019677231464427e-11
14,9.418131181931571e-12,1.8405515058561115e-12,5.462746601904866e-16,2.768099935273842,3.785291364358174e-11
15,1.2893354075693581e-11,1.657188674659972e-12,1.0964771748450777e-15,2.9590033790858303,3.540076907578852e-11
16,1.1502486408010528e-11,1.5230668720502611e-12,1.0554175000021273e-15,3.1499068228978198,3.306434345548786e-11
17,9.477189826605173e-12,1.4161302105360203e-12,9.83257782237625e-16,3.3408102667098083,3.1124903021550573e-11
18,4.2646160498228725e-12,1.3180979089248406e-12,5.800169518609556e-16,3.5317137105217977,2.934023814569316e-11
19,3.281328717525987e-12,1.2502229296779767e-12,5.738136938453887e-16,3.722617154333787,2.7712257929422874e-11
20,9.104270165386875e-15,9.770458111328588e-13,-1.5292703783054916e-17,3.9135205981457757,2.0755400166080475e-11
21,1.203745366268504e-13,9.430782999326289e-13,-1.2538223177462186e-16,4.104424041957765,1.9823070094318682e-11
22,2.533274713863418e-13,8.830305190199008e-13,-1.9689262768854804e-16,4.295327485769754,1.8240278056892648e-11
23,,,,4.486230929581743,
24,,,,4.6771343733937325,
25,,,,4.868037817205721,
26,,,,5.05894126101771,
27,,,,5.2498447048297,
28,,,,5.440748148641688,
29,,,,5.631651592453677,
