,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,3.0107436126441936e-11,7.254092631508266e-12,3.9040545477091006e-16,0.14994430745768392,4.631382357568806e-11,3.1368784675020984e-11
1,5.486036036346858e-11,7.929790843751254e-12,8.657289418540862e-16,0.4498329223730517,9.472919294192861e-11,5.1417215924425946e-11
2,4.509234953978618e-11,5.406252648016383e-12,1.0115534785887748e-15,0.7497215372884196,7.984293990449617e-11,4.211857124179487e-11
3,3.49217136573391e-11,4.009872484848462e-12,1.0692979121626549e-15,1.0496101522037873,6.430762040013478e-11,3.3617494053423774e-11
4,3.112019131963786e-11,3.2353422373929002e-12,1.1409830466658635e-15,1.3494987671191554,5.6761640197935573e-11,2.977020413150927e-11
5,3.084927105495216e-11,2.7389365845754243e-12,1.258357193822083e-15,1.649387382034523,4.896960986856628e-11,2.96265530954089e-11
6,3.2249740773790935e-11,2.3845349781167662e-12,1.3988766037305114e-15,1.949275996949891,4.415170289391344e-11,3.09799990435168e-11
7,2.880543708820302e-11,2.1119005458922783e-12,1.4260848558477987e-15,2.249164611865259,4.0378036956603034e-11,2.7903932706878447e-11
8,2.4823187764290525e-11,1.9594792969485372e-12,1.4267236427055996e-15,2.5490532267806265,3.63563703879304e-11,2.4643179131364425e-11
9,2.1247744809841005e-11,1.8637585479893446e-12,1.392515350659715e-15,2.8489418416959946,3.365099111099122e-11,2.100449869507785e-11
10,1.8930271954423697e-11,1.7866968881297771e-12,1.380433959204849e-15,3.1488304566113623,3.1147923210115275e-11,1.867574405469544e-11
11,1.3702048314361185e-11,1.695681803159584e-12,1.2258247065196768e-15,3.44871907152673,2.9163016228934425e-11,1.34460537704659e-11
12,1.0701668339167945e-11,1.6177586458051417e-12,1.1336564517620309e-15,3.7486076864420976,2.7156126729422598e-11,1.0580077728493338e-11
13,9.380640965019517e-12,1.5377150066337312e-12,1.100703787728341e-15,4.048496301357466,2.55568088147537e-11,9.235131777051125e-12
14,7.469229255856945e-12,1.4431761935461312e-12,1.0291853097435158e-15,4.348384916272834,2.4147847382773802e-11,7.517182574378555e-12
15,,,,4.6482735311882015,,
16,,,,4.948162146103569,,
17,,,,5.248050761018937,,
18,,,,5.547939375934305,,
19,,,,5.847827990849673,,
20,,,,6.147716605765041,,
21,,,,6.447605220680408,,
22,,,,6.747493835595776,,
23,,,,7.047382450511144,,
24,,,,7.347271065426511,,
25,,,,7.64715968034188,,
26,,,,7.9470482952572485,,
27,,,,8.246936910172616,,
28,,,,8.546825525087984,,
29,,,,8.846714140003352,,
