,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar
0,1.0045865157640012e-10,7.251136782500092e-11,1.867765960448438e-15,1.01152721261859,1.937754886978608e-10
1,4.6135259372536026e-11,2.0626563726052003e-11,2.124049288093583e-15,3.0345816378557697,1.0129901533246027e-10
2,4.281333181804865e-11,1.1342818634841326e-11,2.637854525399464e-15,5.05763606309295,7.462331689822147e-11
3,4.066898800482306e-11,7.851342894168106e-12,3.0490792316730122e-15,7.080690488330129,6.032714568042397e-11
4,3.631242311614016e-11,6.360469555205923e-12,3.2638515970101017e-15,9.10374491356731,5.072664712155491e-11
5,3.190971666891213e-11,5.776141963958749e-12,3.386477187468639e-15,11.126799338804489,4.3749142770593006e-11
6,2.8972883918657523e-11,5.5334956937036936e-12,3.500733288258579e-15,13.14985376404167,3.847899139359858e-11
7,2.6577660666084506e-11,5.285013442559517e-12,3.585322895975155e-15,15.172908189278848,3.4188407249887306e-11
8,2.3741220688160955e-11,4.896099591993445e-12,3.605053019996212e-15,17.195962614516027,3.044603208521449e-11
9,1.8447908305185853e-11,4.4442834767281965e-12,3.3347705881196075e-15,19.21901703975321,2.7211895672013214e-11
10,1.6166234591363936e-11,3.9724991830516705e-12,3.2895274972087866e-15,21.24207146499039,2.4404778855285615e-11
11,1.3867012643803584e-11,3.5181849823848346e-12,3.2061151327726723e-15,23.265125890227566,2.19657420998469e-11
12,,,,25.28818031546475,
13,,,,27.311234740701927,
14,,,,29.334289165939104,
15,,,,31.35734359117629,
16,,,,33.380398016413466,
17,,,,35.40345244165064,
18,,,,37.42650686688783,
19,,,,39.44956129212501,
20,,,,41.47261571736219,
21,,,,43.495670142599366,
22,,,,45.51872456783654,
23,,,,47.54177899307373,
24,,,,49.564833418310904,
25,,,,51.58788784354809,
26,,,,53.610942268785266,
27,,,,55.63399669402244,
28,,,,57.65705111925962,
29,,,,59.68010554449681,
