,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,1.0026936057069459e-10,3.507273782453351e-11,7.400100162339371e-16,0.18076922510707577,1.2529423762155432e-10,9.348600937208922e-11
1,7.545664546694155e-11,2.5936134513847793e-11,1.0819011248594967e-15,0.5423076753212273,1.4111251723344882e-10,6.660783463112007e-11
2,6.56183741546437e-11,1.620643024971581e-11,1.2705202870858523e-15,0.9038461255353788,1.0773326238422542e-10,5.51143422950512e-11
3,5.032177439792165e-11,1.1689529142202034e-11,1.3560347263938784e-15,1.2653845757495303,9.070679579030928e-11,4.484510117888146e-11
4,4.0945282166081105e-11,9.363363199686836e-12,1.4049722724133107e-15,1.626923025963682,7.707096102476915e-11,3.7442464154442236e-11
5,3.210571594928811e-11,7.909911500050538e-12,1.3775987376244043e-15,1.9884614761778334,6.717974150561931e-11,2.9452638877440666e-11
6,2.899992511829156e-11,6.63258741003871e-12,1.4339414567351663e-15,2.349999926391985,5.912075945612118e-11,2.7001687997876355e-11
7,2.4788100808530324e-11,5.704870707904943e-12,1.4098924075530332e-15,2.7115383766061365,5.231291358177015e-11,2.2623099725331367e-11
8,2.0524561599327066e-11,4.971706895226815e-12,1.3541214377779227e-15,3.073076826820288,4.677130184646378e-11,1.84135587305629e-11
9,1.6438937468550885e-11,4.4452476990248936e-12,1.2864364157924432e-15,3.43461527703444,4.2348168106472546e-11,1.4869435286800908e-11
10,1.0096323205857246e-11,3.979847618564563e-12,1.0280022884617419e-15,3.7961537272485915,3.895498878077145e-11,8.59093223879675e-12
11,8.250416608423471e-12,3.598568288994443e-12,9.514791281341045e-16,4.157692177462742,3.6079469414487484e-11,6.719579882941391e-12
12,8.698882506798204e-12,3.316463036585037e-12,1.0603430762765578e-15,4.519230627676894,3.3581745045090334e-11,7.677577808848277e-12
13,5.452444825175478e-12,3.077747008926317e-12,8.652940205351781e-16,4.8807690778910455,3.1260939149938884e-11,4.734074263414963e-12
14,2.5731985984231756e-12,2.8728495610989e-12,6.512447097272743e-16,5.242307528105197,2.919953204797718e-11,2.4966740325969835e-12
15,4.723991405353798e-13,2.5197758078941364e-12,2.1528783442924798e-16,5.603845978319349,2.583180001154769e-11,2.39770894760334e-13
16,,,,5.9653844285335005,,
17,,,,6.326922878747652,,
18,,,,6.688461328961804,,
19,,,,7.049999779175955,,
20,,,,7.411538229390107,,
21,,,,7.773076679604258,,
22,,,,8.13461512981841,,
23,,,,8.496153580032562,,
24,,,,8.857692030246712,,
25,,,,9.219230480460864,,
26,,,,9.580768930675015,,
27,,,,9.942307380889167,,
28,,,,10.303845831103319,,
29,,,,10.66538428131747,,
