,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,1.1607432813474595e-10,1.246663119832228e-11,-4.555826379884655e-16,0.028168523322966325,3.8818520727904405e-11,7.57957607751136e-11
1,3.003453910442114e-10,1.9751487839291805e-11,9.73996927172318e-16,0.08450556996889898,7.034711573608948e-11,2.078629135132949e-10
2,2.259730421871735e-10,2.6331711511313757e-11,1.08379009135029e-15,0.14084261661483163,7.795990324273996e-11,1.8383328732410272e-10
3,4.4775490937711356e-11,3.11545658583843e-11,4.792146638545218e-17,0.19717966326076428,9.654629172808807e-11,2.795435843692532e-13
4,7.735706142367814e-11,3.437706057334204e-11,2.852943856536029e-16,0.25351670990669695,1.1147267126319387e-10,8.106354768414332e-12
5,2.762952748598714e-11,3.328364855882836e-11,2.4718872753985647e-16,0.3098537565526296,1.165493823386914e-10,5.149271756288036e-12
6,1.0727741626514389e-11,3.093605642418096e-11,9.244357460636832e-17,0.36619080319856223,1.2018112229769908e-10,6.24157283679923e-13
7,9.531884925571032e-11,2.8037980075674067e-11,7.580477468325004e-16,0.4225278498444949,1.226859431611628e-10,3.7031904022767184e-11
8,6.73553219209046e-11,2.482692344509002e-11,1.0083005804061302e-15,0.4788648964904275,1.2096387222752673e-10,5.862168190486412e-11
9,,,,0.5352019431363602,,
10,,,,0.5915389897822929,,
11,,,,0.6478760364282254,,
12,,,,0.7042130830741582,,
13,,,,0.7605501297200907,,
14,,,,0.8168871763660235,,
15,,,,0.873224223011956,,
16,,,,0.9295612696578888,,
17,,,,0.9858983163038214,,
18,,,,1.042235362949754,,
19,,,,1.0985724095956866,,
20,,,,1.1549094562416193,,
21,,,,1.211246502887552,,
22,,,,1.2675835495334846,,
23,,,,1.3239205961794172,,
24,,,,1.38025764282535,,
25,,,,1.4365946894712827,,
26,,,,1.4929317361172152,,
27,,,,1.5492687827631477,,
28,,,,1.6056058294090805,,
29,,,,1.6619428760550132,,
