,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,1.0468875866633981e-10,3.669432559845681e-10,6.912544023791178e-16,0.07213472769859983,6.455510163914005e-10,6.814062155029055e-11
1,9.595996602115719e-11,3.595622258425388e-10,8.078161327394407e-16,0.21640418309579948,6.228465594269953e-10,5.5835005716737994e-11
2,1.0455890269336347e-10,2.868018202065628e-10,1.0733861105331017e-15,0.36067363849299916,5.111751029203854e-10,7.041503955029532e-11
3,1.212860028273254e-10,2.2574823234125996e-10,1.3453407122633111e-15,0.5049430938901988,4.181840412120048e-10,8.603468744879618e-11
4,1.2963174229779736e-10,1.8004518362658606e-10,1.4982488143093845e-15,0.6492125492873985,3.531012515874892e-10,8.730250901299019e-11
5,9.507258573189909e-11,1.4772220200114285e-10,1.2613608651118949e-15,0.7934820046845981,3.097176507652316e-10,5.235846160809267e-11
6,7.012912186846508e-11,1.231731976346921e-10,8.428283102161001e-16,0.9377514600817978,2.742107508244729e-10,2.0259955906100777e-11
7,7.86571910124027e-11,1.0404589237189747e-10,1.0783885424026232e-15,1.0820209154789975,2.45787683175094e-10,2.926531031596274e-11
8,7.153553946683832e-11,8.844064904755827e-11,1.1695435969685957e-15,1.226290370876197,2.2295067102535078e-10,3.079858438924343e-11
9,5.5553941876441355e-11,7.591694756598124e-11,1.2957118285979636e-15,1.370559826273397,2.037670746678999e-10,3.420180899111219e-11
10,1.428508429827363e-12,6.570251122293896e-11,2.0851027316695102e-16,1.5148292816705964,1.8823654995138018e-10,8.086835399017998e-13
11,2.5487581317712477e-11,5.745655867769907e-11,4.14352549424983e-16,1.6590987370677959,1.742660769331913e-10,2.9379983460239593e-12
12,,,,1.8033681924649958,,
13,,,,1.9476376478621953,,
14,,,,2.0919071032593948,,
15,,,,2.2361765586565947,,
16,,,,2.380446014053794,,
17,,,,2.524715469450994,,
18,,,,2.6689849248481936,,
19,,,,2.813254380245393,,
20,,,,2.957523835642593,,
21,,,,3.1017932910397925,,
22,,,,3.2460627464369924,,
23,,,,3.390332201834192,,
24,,,,3.5346016572313914,,
25,,,,3.678871112628591,,
26,,,,3.823140568025791,,
27,,,,3.9674100234229903,,
28,,,,4.111679478820189,,
29,,,,4.25594893421739,,
