,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar
0,1.5023631159847505e-11,5.7629726827821806e-12,2.5280140564365294e-16,0.02956909119440545,3.733030630712629e-11
1,8.444178228898765e-12,6.213487639969612e-12,2.3854844636866567e-16,0.08870727358321634,3.403256643693335e-11
2,2.2777168019365902e-11,7.0829224502458876e-12,4.2695521558087178e-16,0.14784545597202725,3.896911803039145e-11
3,,,,0.20698363836083813,
4,,,,0.2661218207496491,
5,,,,0.32526000313845993,
6,,,,0.3843981855272708,
7,,,,0.44353636791608175,
8,,,,0.5026745503048926,
9,,,,0.5618127326937035,
10,,,,0.6209509150825144,
11,,,,0.6800890974713253,
12,,,,0.7392272798601363,
13,,,,0.7983654622489471,
14,,,,0.857503644637758,
15,,,,0.9166418270265689,
16,,,,0.9757800094153798,
17,,,,1.0349181918041905,
18,,,,1.0940563741930016,
19,,,,1.1531945565818127,
20,,,,1.2123327389706233,
21,,,,1.2714709213594344,
22,,,,1.330609103748245,
23,,,,1.3897472861370561,
24,,,,1.448885468525867,
25,,,,1.5080236509146778,
26,,,,1.567161833303489,
27,,,,1.6263000156922995,
28,,,,1.6854381980811106,
29,,,,1.7445763804699215,
