,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,9.180966297432955e-11,6.89318617999339e-11,1.1551339268377593e-15,0.36139158382516706,2.1638142277823237e-10,1.1394166628504168e-10
1,7.468282117963805e-11,2.2455206124522232e-11,1.6149033131946998e-15,1.0841747514755011,1.338295216372652e-10,7.423174737367692e-11
2,5.3353157311702524e-11,1.1773164981588861e-11,1.7538866945657518e-15,1.8069579191258351,9.313458397091707e-11,5.2535267732914414e-11
3,4.742812811453269e-11,7.988659882867123e-12,1.975134902698358e-15,2.5297410867761694,7.284764711901686e-11,4.758974462847345e-11
4,4.293487448669696e-11,6.478710772328199e-12,2.133177156558191e-15,3.2525242544265036,6.050856558530344e-11,4.317468986084356e-11
5,4.060774652667891e-11,5.996558025314606e-12,2.279390685246201e-15,3.9753074220768374,5.1969606057474746e-11,4.0333205633288566e-11
6,3.535688600371004e-11,5.672988808989279e-12,2.304009318751681e-15,4.698090589727172,4.564519695346372e-11,3.4869281421310406e-11
7,2.834877576372286e-11,5.127166554295848e-12,2.2203157167982926e-15,5.420873757377506,4.0666619912640984e-11,2.8064421511300636e-11
8,2.3852950785899017e-11,4.609543166526132e-12,2.164700783730422e-15,6.14365692502784,3.6446735773417954e-11,2.3537737476655935e-11
9,1.992853668872699e-11,4.08750259787884e-12,2.080116764771681e-15,6.866440092678174,3.288638010007819e-11,1.9446422396414974e-11
10,1.69525469393845e-11,3.607174099377708e-12,2.0322536422297634e-15,7.589223260328509,2.985767649813037e-11,1.679401024370885e-11
11,1.5378967345770612e-11,3.2095224206739553e-12,2.0141332867229973e-15,8.312006427978842,2.7420220456100063e-11,1.506143892891077e-11
12,8.044203572386915e-12,2.868958991928504e-12,1.5236921106737532e-15,9.034789595629176,2.5307420130718526e-11,7.929984097906938e-12
13,5.082776318958316e-12,2.592445608033152e-12,1.2457427116201147e-15,9.75757276327951,2.352104242772113e-11,4.908070960426024e-12
14,,,,10.480355930929845,,
15,,,,11.203139098580179,,
16,,,,11.925922266230513,,
17,,,,12.648705433880847,,
18,,,,13.371488601531182,,
19,,,,14.094271769181516,,
20,,,,14.81705493683185,,
21,,,,15.539838104482184,,
22,,,,16.262621272132517,,
23,,,,16.98540443978285,,
24,,,,17.708187607433185,,
25,,,,18.43097077508352,,
26,,,,19.153753942733854,,
27,,,,19.876537110384188,,
28,,,,20.599320278034522,,
29,,,,21.322103445684856,,
