,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,2.7782085753658203e-10,1.690010169279722e-10,1.778783164168145e-15,0.3430750050827232,4.1788669189306056e-10,2.8461177502309515e-10
1,4.1816308018923225e-10,1.8214810323853682e-10,3.3863903697565904e-15,1.0292250152481697,5.177262902542768e-10,3.438425582566714e-10
2,2.7919669918296213e-10,9.741939288022858e-11,3.7760631715314215e-15,1.715375025413616,3.5050468051924603e-10,2.565165211033776e-10
3,2.179615616583987e-10,5.97366480542166e-11,4.091087276570736e-15,2.4015250355790627,2.5469691216946406e-10,2.1507319776948083e-10
4,1.638914685566717e-10,4.2598897442022536e-11,4.013354267541089e-15,3.0876750457445086,2.0223918431853773e-10,1.6098274516251586e-10
5,1.2911596154651226e-10,3.287963754437868e-11,3.956736303760476e-15,3.7738250559099553,1.6746826496944466e-10,1.2802311014415443e-10
6,1.0292292685248999e-10,2.6688508282992593e-11,3.836798136632633e-15,4.459975066075401,1.4324595582533935e-10,1.0185946527886689e-10
7,8.040350803283818e-11,2.2267355020071934e-11,3.62231427116857e-15,5.146125076240848,1.245953116621541e-10,7.86842551547866e-11
8,6.331396112241243e-11,1.8766112610412513e-11,3.395406685766366e-15,5.832275086406295,1.0984451632736269e-10,6.100164138772343e-11
9,4.8715371803639916e-11,1.5943572531400658e-11,3.129194818330797e-15,6.518425096571741,9.749756220095647e-11,4.635733350261138e-11
10,3.1795861657561823e-11,1.3679601664211978e-11,2.676119398636568e-15,7.204575106737187,8.713789798682358e-11,3.067598529118688e-11
11,2.6548437781755777e-11,1.1872851658499392e-11,2.5658980325660404e-15,7.890725116902634,7.859484127807117e-11,2.5748847479707226e-11
12,2.1561422542759782e-11,1.0391481140074735e-11,2.4278458630166216e-15,8.576875127068082,7.129993468039606e-11,2.1208456215325212e-11
13,1.7567651890384286e-11,9.171614996059073e-12,2.2780684618553782e-15,9.263025137233527,6.500371576699212e-11,1.728926863771507e-11
14,1.737434870431583e-11,8.165376252328033e-12,2.340567313308823e-15,9.949175147398972,5.95588388113512e-11,1.6992258909772967e-11
15,1.4319941860536388e-11,7.318802444876066e-12,2.2058150817354925e-15,10.63532515756442,5.4815861223450215e-11,1.41183307863318e-11
16,,,,11.321475167729865,,
17,,,,12.007625177895314,,
18,,,,12.693775188060759,,
19,,,,13.379925198226204,,
20,,,,14.066075208391652,,
21,,,,14.752225218557097,,
22,,,,15.438375228722546,,
23,,,,16.12452523888799,,
24,,,,16.81067524905344,,
25,,,,17.496825259218884,,
26,,,,18.18297526938433,,
27,,,,18.869125279549777,,
28,,,,19.555275289715222,,
29,,,,20.241425299880667,,
