,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,1.0974726231660297e-10,1.3768511395688696e-10,5.700652114709968e-16,0.10083329091692673,2.857542477136079e-10,9.945830593915499e-11
1,1.1121889338164551e-10,1.2511871050666867e-10,1.0150298144356533e-15,0.3024998727507802,3.266572536755388e-10,1.0510619719433425e-10
2,1.9940659397411783e-10,8.450490166030318e-11,1.7165402222780128e-15,0.5041664545846337,2.5182302280539776e-10,1.803557299418139e-10
3,1.6324088690965378e-10,6.051247724418226e-11,1.907745381640596e-15,0.7058330364184872,2.0316751852510465e-10,1.5912366089357507e-10
4,1.3252835674085427e-10,4.595661853011057e-11,1.9640206752205227e-15,0.9074996182523407,1.7285125682162134e-10,1.311721331772801e-10
5,1.1446821481054858e-10,3.6438346269763153e-11,1.996502914349569e-15,1.1091662000861942,1.5029453624178715e-10,1.1090195242467362e-10
6,8.480108611877092e-11,2.9785891976056496e-11,1.8723301776039346e-15,1.3108327819200476,1.3313493479293934e-10,8.253031489900671e-11
7,6.36226927802446e-11,2.4610958991877543e-11,1.7464563774696646e-15,1.512499363753901,1.202800715246922e-10,6.223235070588569e-11
8,4.5934263913599113e-11,2.0627591291806653e-11,1.5466998506641036e-15,1.7141659455877545,1.0943491488291954e-10,4.306804379090353e-11
9,3.6449733829726004e-11,1.7220734054721332e-11,1.4115071609382917e-15,1.9158325274216081,9.956111799284242e-11,3.209257396019703e-11
10,4.655368938871197e-11,1.456903378988823e-11,1.745563965886169e-15,2.1174991092554616,9.066011641486978e-11,4.4406262472436134e-11
11,3.6889644683500396e-11,1.2469141537946943e-11,1.6539119414405375e-15,2.319165691089315,8.410120041741918e-11,3.639895453617735e-11
12,1.3776889898587233e-11,9.458317141453467e-12,9.982759767356954e-16,2.5208322729231685,7.293102537050048e-11,1.1296124130306989e-11
13,,,,2.722498854757022,,
14,,,,2.9241654365908754,,
15,,,,3.125832018424729,,
16,,,,3.3274986002585822,,
17,,,,3.5291651820924357,,
18,,,,3.730831763926289,,
19,,,,3.932498345760143,,
20,,,,4.1341649275939965,,
21,,,,4.33583150942785,,
22,,,,4.537498091261703,,
23,,,,4.739164673095557,,
24,,,,4.94083125492941,,
25,,,,5.142497836763264,,
26,,,,5.344164418597117,,
27,,,,5.5458310004309705,,
28,,,,5.747497582264824,,
29,,,,5.949164164098677,,
