,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,2.0611670862431817e-11,1.6014785697249452e-12,1.7609136915281976e-16,0.08664713638349825,6.0087326228556e-11,1.1043782577160618e-11
1,2.0313396041115437e-11,3.61523485214028e-12,3.8079466565571664e-16,0.25994140915049474,7.695463112273797e-11,1.7214807263438828e-11
2,2.4599450626641355e-11,4.653408830385918e-12,5.3339525446678625e-16,0.43323568191749123,7.650745023980695e-11,2.0266091457679544e-11
3,3.326611507353306e-11,3.936027826700949e-12,7.625067182320968e-16,0.6065299546844878,7.026545855348022e-11,2.958223729577583e-11
4,3.9119885640131406e-11,3.2438167402735773e-12,9.722313039352009e-16,0.7798242274514842,6.111076654028104e-11,3.7405752748997944e-11
5,4.001130711009417e-11,2.650050455626306e-12,1.0726817981742065e-15,0.9531185002184808,5.505944640964376e-11,3.7255538490128254e-11
6,3.096997873598612e-11,1.897707194897638e-12,1.139927197726715e-15,1.1264127729854772,4.4044651380785435e-11,3.085351723561417e-11
7,1.2674499322381563e-11,1.6641496984273198e-12,7.680501835150207e-16,1.2997070457524738,4.1098008426378667e-11,1.2358676964935043e-11
8,2.3505407686020935e-11,1.5166969802505001e-12,1.11834326566461e-15,1.4730013185194701,3.76682181686534e-11,2.344435885480231e-11
9,1.8929839513747568e-11,1.3853834901048767e-12,1.0447336525841928e-15,1.6462955912864667,3.53742434512137e-11,1.851115772781181e-11
10,1.6185207297766668e-11,1.305672690997419e-12,1.0173632541001425e-15,1.8195898640534631,3.284664967578966e-11,1.6027506670226807e-11
11,1.2188283522854462e-11,1.2102423057534657e-12,9.234098303467548e-16,1.9928841368204597,3.062026855705138e-11,1.2147605682744194e-11
12,1.0747871952391055e-11,1.1284963182551537e-12,8.92852139281629e-16,2.166178409587456,2.9036205322616043e-11,1.0515671978049262e-11
13,,,,2.3394726823544527,,
14,,,,2.5127669551214495,,
15,,,,2.6860612278884455,,
16,,,,2.8593555006554423,,
17,,,,3.0326497734224382,,
18,,,,3.205944046189435,,
19,,,,3.379238318956432,,
20,,,,3.552532591723428,,
21,,,,3.7258268644904247,,
22,,,,3.8991211372574215,,
23,,,,4.072415410024417,,
24,,,,4.245709682791414,,
25,,,,4.419003955558411,,
26,,,,4.592298228325407,,
27,,,,4.765592501092404,,
28,,,,4.9388867738594,,
29,,,,5.112181046626397,,
