,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,3.1240745431789305e-11,2.799613308431947e-12,1.6298488670717925e-16,0.028289723636466497,4.634390818703658e-11,9.65918829061436e-12
1,6.745701081667604e-11,7.560642076724698e-12,5.737342826189271e-16,0.0848691709093995,5.458848054561773e-11,7.181560361189438e-11
2,1.640820832196591e-11,8.027322334121674e-12,2.243573164159057e-16,0.14144861818233248,8.000870774569265e-11,7.844217919204742e-12
3,4.9184465916529726e-11,7.337765248113346e-12,5.69504047069428e-16,0.19802806545526547,9.926460999183427e-11,3.9311384259187534e-11
4,5.5085808705810635e-11,7.068346739290398e-12,7.367818104943591e-16,0.2546075127281985,1.0423330225353219e-10,5.383346359820559e-11
5,7.545954404666871e-11,6.8877556591131175e-12,9.386055622286858e-16,0.31118696000113144,1.0242754584246582e-10,7.39247920715683e-11
6,6.416105948399744e-11,5.7826829625679005e-12,9.92258398922943e-16,0.36776640727406446,1.0775769602083651e-10,6.31782893934132e-11
7,5.3609601907306185e-11,4.887284480186371e-12,1.0073777807102077e-15,0.42434585454699747,9.926287868646832e-11,5.27148114319049e-11
8,,,,0.48092530181993043,,
9,,,,0.5375047490928635,,
10,,,,0.5940841963657963,,
11,,,,0.6506636436387294,,
12,,,,0.7072430909116625,,
13,,,,0.7638225381845953,,
14,,,,0.8204019854575284,,
15,,,,0.8769814327304615,,
16,,,,0.9335608800033943,,
17,,,,0.9901403272763274,,
18,,,,1.0467197745492602,,
19,,,,1.1032992218221933,,
20,,,,1.1598786690951264,,
21,,,,1.2164581163680594,,
22,,,,1.2730375636409923,,
23,,,,1.3296170109139254,,
24,,,,1.3861964581868582,,
25,,,,1.4427759054597913,,
26,,,,1.4993553527327244,,
27,,,,1.5559348000056574,,
28,,,,1.6125142472785903,,
29,,,,1.6690936945515233,,
