,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,6.754373034181078e-11,2.9846687212238356e-11,4.838913529096108e-16,0.28517150712821954,1.1932275803140894e-10,2.5338769076230597e-11
1,3.585627086198882e-11,1.4621973039329374e-11,7.683312098922618e-16,0.8555145213846587,8.935677548599292e-11,2.129440381995036e-11
2,3.2848721682907764e-11,8.162192303029885e-12,1.1453905840137556e-15,1.4258575356410979,6.126161226157904e-11,2.8394027828013373e-11
3,3.072119691725742e-11,5.793995995041298e-12,1.3676034438016088e-15,1.9962005498975368,4.6990139086837466e-11,2.8914262688822297e-11
4,2.0325660202362323e-11,4.707953627705332e-12,1.241102629245327e-15,2.5665435641539758,3.9028064231397424e-11,1.8520924985153713e-11
5,1.8059482790569125e-11,3.836370357326156e-12,1.2783902226667011e-15,3.136886578410415,3.318574553910595e-11,1.6077702436619127e-11
6,1.7977419845285582e-11,3.1999455267645133e-12,1.4161061199011652e-15,3.707229592666854,2.86908583774617e-11,1.6693140083334937e-11
7,1.625651886028268e-11,2.772972055360234e-12,1.4971211402764458e-15,4.277572606923293,2.512484875041741e-11,1.617008927385101e-11
8,1.4318406859915238e-11,2.5333084761479637e-12,1.4804637560352282e-15,4.847915621179732,2.2155909378860713e-11,1.3951998754854902e-11
9,1.3118730328608561e-11,2.362843805841363e-12,1.5063494529279815e-15,5.418258635436171,1.992430684105875e-11,1.2923723506304207e-11
10,1.1996745738478968e-11,2.2236348310602227e-12,1.5213378599949438e-15,5.98860164969261,1.8082567001625154e-11,1.1926742492839619e-11
11,1.1424729932638222e-11,2.088688429865424e-12,1.549368086494758e-15,6.558944663949049,1.6594065401854034e-11,1.1294608123870881e-11
12,1.1719388230075872e-11,1.9681753867292025e-12,1.6351159531776143e-15,7.129287678205489,1.5246424296294117e-11,1.1573025066360484e-11
13,1.1006676603979513e-11,1.8467920458054326e-12,1.6402629737570077e-15,7.699630692461928,1.408885887539963e-11,1.0783332326507327e-11
14,,,,8.269973706718368,,
15,,,,8.840316720974805,,
16,,,,9.410659735231246,,
17,,,,9.981002749487683,,
18,,,,10.551345763744123,,
19,,,,11.12168877800056,,
20,,,,11.692031792257001,,
21,,,,12.262374806513439,,
22,,,,12.83271782076988,,
23,,,,13.403060835026318,,
24,,,,13.973403849282757,,
25,,,,14.543746863539198,,
26,,,,15.114089877795635,,
27,,,,15.684432892052076,,
28,,,,16.254775906308513,,
29,,,,16.825118920564954,,
