,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar
0,1.5354022783523057e-12,1.0228725841022104e-12,-2.2481835651268183e-16,0.1792648419767512,5.595660630218703e-11
1,2.287493496122163e-12,7.386652323299238e-13,3.3238317114716164e-16,0.5377945259302536,4.871832599744542e-11
2,4.388715658803453e-12,5.76185922028447e-13,5.31145450415023e-16,0.8963242098837559,4.2599789326369456e-11
3,4.830021032348585e-12,4.861056666061324e-13,5.959822202254241e-16,1.2548538938372582,3.7169095124463987e-11
4,4.587726947661237e-12,4.1142013039229216e-13,6.188413567837841e-16,1.6133835777907608,3.261442378365153e-11
5,4.739441611247532e-12,3.403501537485746e-13,6.678108636206378e-16,1.971913261744263,2.8957841035041975e-11
6,,,,2.330442945697765,
7,,,,2.6889726296512677,
8,,,,3.0475023136047703,
9,,,,3.406031997558273,
10,,,,3.7645616815117746,
11,,,,4.123091365465277,
12,,,,4.48162104941878,
13,,,,4.8401507333722815,
14,,,,5.198680417325784,
15,,,,5.557210101279287,
16,,,,5.915739785232789,
17,,,,6.274269469186292,
18,,,,6.6327991531397945,
19,,,,6.991328837093296,
20,,,,7.349858521046799,
21,,,,7.7083882050003005,
22,,,,8.066917888953803,
23,,,,8.425447572907306,
24,,,,8.783977256860808,
25,,,,9.142506940814311,
26,,,,9.501036624767814,
27,,,,9.859566308721316,
28,,,,10.218095992674817,
29,,,,10.57662567662832,
