,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,6.294380750083585e-12,6.94170199331099e-11,8.257691545230212e-17,0.1663409126887798,1.8050296061290247e-10,1.265068827370479e-12
1,6.261092183465228e-12,3.90560904187971e-11,2.2103471442632534e-16,0.49902273806633934,1.5517994224053038e-10,3.0213188520670113e-12
2,1.5713959877896582e-11,1.772909124014152e-11,6.043307635477527e-16,0.8317045634438989,1.1212947021782648e-10,1.3551152808588514e-11
3,3.7221209167389925e-11,1.0184330253459713e-11,1.1849194250284552e-15,1.1643863888214585,8.930009808454896e-11,3.72114368631744e-11
4,4.9122422190957155e-11,6.811749454802876e-12,1.556836789567181e-15,1.4970682141990181,7.655883037544864e-11,4.9962079249244504e-11
5,4.421355277552794e-11,5.035394351422457e-12,1.6125101241793042e-15,1.8297500395765778,6.667694348896968e-11,4.3853984280000813e-11
6,3.6998315234018344e-11,4.018091022515412e-12,1.5726523897043152e-15,2.1624318649541374,5.897752816357447e-11,3.529546986688723e-11
7,3.3728203189114774e-11,3.3670696856730964e-12,1.6021278126906405e-15,2.4951136903316966,5.342375479199597e-11,3.1746796062677975e-11
8,2.4732218498501006e-11,2.964824025247027e-12,1.4287831127687163e-15,2.8277955157092567,4.8706093716926315e-11,2.2278222512089003e-11
9,1.559900831237149e-11,2.6420779884713565e-12,1.2394875584892791e-15,3.160477341086816,4.498146472956252e-11,1.5001254685080758e-11
10,1.3408450382330228e-11,2.197520764511497e-12,1.2943916052490446e-15,3.493159166464376,3.8457624313438044e-11,1.3514512396694983e-11
11,1.108547862958109e-11,2.03478100263485e-12,1.2121259366219867e-15,3.825840991841935,3.573598834487003e-11,1.0903158396862525e-11
12,,,,4.158522817219495,,
13,,,,4.491204642597054,,
14,,,,4.823886467974614,,
15,,,,5.156568293352174,,
16,,,,5.489250118729733,,
17,,,,5.821931944107293,,
18,,,,6.154613769484852,,
19,,,,6.487295594862411,,
20,,,,6.819977420239971,,
21,,,,7.1526592456175315,,
22,,,,7.485341070995091,,
23,,,,7.81802289637265,,
24,,,,8.150704721750209,,
25,,,,8.483386547127768,,
26,,,,8.81606837250533,,
27,,,,9.148750197882888,,
28,,,,9.481432023260448,,
29,,,,9.814113848638009,,
