,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar
0,2.759327421377575e-11,5.460501835247279e-12,-1.4662076679746364e-16,0.025180972914441317,3.7117238505595026e-11
1,6.780007119525494e-12,7.306178875674127e-12,-1.4826880201528204e-16,0.07554291874332394,5.9798216721914e-11
2,6.2183497611263e-12,8.017126913946497e-12,5.2231917029327275e-17,0.12590486457220657,7.274733692661741e-11
3,9.399842990236e-12,9.34708572827831e-12,-5.923772212351891e-17,0.1762668104010892,7.884147149737845e-11
4,4.3329175575787575e-12,8.841990878494733e-12,1.7411114900387758e-16,0.22662875622997186,7.79154917494458e-11
5,4.6941356244220705e-12,8.815709404372013e-12,1.8684440285227022e-16,0.27699070205885445,7.916401311625588e-11
6,3.4135768166148405e-12,7.664226329587297e-12,1.9470429202420954e-16,0.3273526478877371,8.057604413650845e-11
7,5.658724586904994e-12,6.908029258865879e-12,2.688632990915022e-16,0.37771459371661975,7.95277939545216e-11
8,1.186962604736414e-12,6.256302662945037e-12,1.378867005887599e-16,0.4280765395455024,7.781596109435748e-11
9,,,,0.47843848537438505,
10,,,,0.5288004312032677,
11,,,,0.5791623770321503,
12,,,,0.6295243228610329,
13,,,,0.6798862686899155,
14,,,,0.7302482145187982,
15,,,,0.7806101603476808,
16,,,,0.8309721061765635,
17,,,,0.8813340520054461,
18,,,,0.9316959978343288,
19,,,,0.9820579436632114,
20,,,,1.0324198894920942,
21,,,,1.0827818353209766,
22,,,,1.1331437811498595,
23,,,,1.183505726978742,
24,,,,1.2338676728076243,
25,,,,1.2842296186365072,
26,,,,1.3345915644653896,
27,,,,1.3849535102942725,
28,,,,1.435315456123155,
29,,,,1.4856774019520378,
