,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar
0,1.4939691203948924e-10,1.8288332018795727e-11,2.9766109967638163e-16,0.03697432952857427,1.8288332018795727e-11
1,3.853457714013956e-11,3.553532127668464e-11,-2.941828606650257e-16,0.1109229885857228,1.2730317146872434e-10
2,1.4135689895271356e-11,3.8748774893603906e-11,1.2358745002004174e-16,0.18487164764287134,1.6171769415093713e-10
3,1.6148777893536164e-11,3.8987706412824175e-11,1.7346318077379438e-16,0.2588203067000199,1.7195744852782048e-10
4,6.845778197098885e-12,3.483236695603115e-11,2.286600666415987e-16,0.3327689657571684,1.702182693998428e-10
5,9.830663366374118e-12,3.077274831261205e-11,2.9037371875941904e-16,0.40671762481431695,1.6539087566043892e-10
6,1.236159867170451e-11,2.6950763554597577e-11,4.0225367397602675e-16,0.4806662838714655,1.5347093571285352e-10
7,2.8091914581660314e-11,2.031652704494175e-11,7.316730640510461e-16,0.554614942928614,1.4304411908377686e-10
8,8.40847097909762e-11,1.080545525641501e-11,1.6407803218258854e-15,0.6285636019857626,1.123291468611887e-10
9,7.124065321985436e-11,9.839111991289436e-12,1.5764730995038583e-15,0.7025122610429111,1.073356329741521e-10
10,6.300838590413876e-11,8.954084850253715e-12,1.5183089898541653e-15,0.7764609201000596,1.0229755369803605e-10
11,5.087890442497851e-11,7.54788628427341e-12,1.45269687618038e-15,0.8504095791572082,9.605704138786108e-11
12,,,,0.9243582382143567,
13,,,,0.9983068972715052,
14,,,,1.0722555563286538,
15,,,,1.1462042153858023,
16,,,,1.2201528744429508,
17,,,,1.2941015335000994,
18,,,,1.368050192557248,
19,,,,1.4419988516143964,
20,,,,1.515947510671545,
21,,,,1.5898961697286935,
22,,,,1.663844828785842,
23,,,,1.7377934878429906,
24,,,,1.8117421469001391,
25,,,,1.8856908059572877,
26,,,,1.9596394650144362,
27,,,,2.033588124071585,
28,,,,2.107536783128733,
29,,,,2.181485442185882,
