,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,3.009051137720619e-10,3.7608917279278753e-10,2.364154045697956e-16,0.14751155799194116,6.931932034476811e-10,1.1692877889993059e-11
1,1.7148812507470303e-10,4.026589059693032e-10,1.3334928425342083e-15,0.44253467397582347,7.1047403067572e-10,1.2400237264624875e-10
2,2.249209402608669e-10,2.614845238439215e-10,2.0761997252735448e-15,0.7375577899597058,5.338480585373247e-10,1.8035912757613208e-10
3,2.635587051072295e-10,1.8288354265152988e-10,2.8837441117094153e-15,1.032580905943588,4.248592157653661e-10,2.4853369306457634e-10
4,2.3468898269125037e-10,1.3202337320222615e-10,3.1197933691346696e-15,1.3276040219274705,3.4157539705138593e-10,2.2624501748620956e-10
5,1.9530222661641095e-10,9.904218665017949e-11,3.1480912215830064e-15,1.6226271379113526,2.81919011541762e-10,1.8848283404639997e-10
6,1.780610977113291e-10,7.673089095011923e-11,3.2882541028520574e-15,1.917650253895235,2.3847271013622474e-10,1.7400321023531399e-10
7,1.769443221358816e-10,6.114477322366468e-11,3.49800774892543e-15,2.2126733698791172,2.0687169220018022e-10,1.7065544402011146e-10
8,9.249681345109543e-11,4.9537521515715325e-11,2.60872222450499e-15,2.5076964858629998,1.8230426099406175e-10,8.374842080655214e-11
9,3.733635930687424e-11,4.0836974464569347e-11,1.6406035698048932e-15,2.8027196018468823,1.61857160427171e-10,2.9636272214303104e-11
10,2.181416135677324e-11,3.423048114298321e-11,1.218346118195521e-15,3.097742717830764,1.4576272132096292e-10,1.4787404226565722e-11
11,1.7349433194263408e-11,2.91352126340206e-11,1.0815010688921927e-15,3.3927658338146465,1.3246785792149425e-10,1.0638880769203559e-11
12,2.5181450674867123e-11,2.508074017918864e-11,1.6160489618688997e-15,3.687788949798529,1.2138811705299485e-10,2.1854400228539374e-11
13,2.4798786530118317e-11,2.1859000376258356e-11,1.7936920947617788e-15,3.982812065782411,1.1228841767288021e-10,2.4928829989702188e-11
14,3.173531601052276e-11,1.922945788821189e-11,2.0656861176422606e-15,4.277835181766293,1.0449894082596062e-10,3.0782262373587125e-11
15,3.4104499977209245e-11,1.7081503291001473e-11,2.205795824134303e-15,4.572858297750176,9.787388677059897e-11,3.283513440471224e-11
16,2.85089668478897e-11,1.5262992350379364e-11,2.1071412299384357e-15,4.867881413734058,9.186403864022538e-11,2.8147719967193745e-11
17,2.8214536200025294e-11,1.373539237855211e-11,2.1756506158188803e-15,5.162904529717941,8.654577240424716e-11,2.8293073993601374e-11
18,2.965401697769803e-11,1.2426323340136963e-11,2.2881023438858884e-15,5.457927645701822,8.182323172889236e-11,2.960186268118809e-11
19,3.02033755216733e-11,8.086147648666106e-12,2.5917369047647624e-15,5.752950761685705,6.474570441620186e-11,2.9898805606370884e-11
20,,,,6.0479738776695875,,
21,,,,6.34299699365347,,
22,,,,6.638020109637352,,
23,,,,6.933043225621234,,
24,,,,7.228066341605117,,
25,,,,7.523089457588999,,
26,,,,7.818112573572881,,
27,,,,8.113135689556763,,
28,,,,8.408158805540644,,
29,,,,8.703181921524529,,
