,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar
0,8.935543071258601e-10,1.1070945247690863e-10,1.4330094444645002e-15,0.08149846482287151,2.334832454905902e-10
1,7.346665446447401e-10,2.244411643389213e-10,7.069352453925474e-16,0.24449539446861454,4.909757235310164e-10
2,1.5457326448227087e-10,2.2277136762599322e-10,3.539912009967895e-16,0.40749232411435754,5.12895284655247e-10
3,1.9618873828232272e-10,1.9148167559308032e-10,1.3980638642813861e-15,0.5704892537601006,4.653616753928316e-10
4,1.8914513356552523e-10,1.6143850512338063e-10,1.9595535814561684e-15,0.7334861834058436,4.3030495022266826e-10
5,2.248101565234866e-10,1.377261171056718e-10,2.4279643408545755e-15,0.8964831130515867,3.904543699844392e-10
6,1.765392530230038e-10,1.1750087784931275e-10,2.4299333991298133e-15,1.0594800426973296,3.550572702485665e-10
7,1.4830909758320593e-10,1.0056177310170065e-10,2.4015444839911466e-15,1.2224769723430726,3.222681576139284e-10
8,1.346970089026347e-10,8.691758218565365e-11,2.4317708359561045e-15,1.3854739019888158,2.9449254444887044e-10
9,,,,1.5484708316345586,
10,,,,1.7114677612803018,
11,,,,1.874464690926045,
12,,,,2.0374616205717877,
13,,,,2.200458550217531,
14,,,,2.3634554798632736,
15,,,,2.526452409509017,
16,,,,2.68944933915476,
17,,,,2.8524462688005032,
18,,,,3.015443198446246,
19,,,,3.1784401280919887,
20,,,,3.341437057737732,
21,,,,3.504433987383475,
22,,,,3.6674309170292183,
23,,,,3.830427846674961,
24,,,,3.993424776320704,
25,,,,4.156421705966447,
26,,,,4.31941863561219,
27,,,,4.482415565257933,
28,,,,4.645412494903677,
29,,,,4.808409424549419,
