,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,5.313192195700579e-11,1.916505603912385e-11,4.42091959555243e-16,0.1383343779835663,5.522239055337337e-11,4.3600456138410324e-11
1,6.851723803667594e-11,2.3902420808748234e-11,9.053303801322478e-16,0.4150031339506989,1.0512247734084564e-10,6.094789824478904e-11
2,5.943127892371847e-11,1.6706190869440528e-11,1.071163211259823e-15,0.6916718899178315,8.777191925752503e-11,5.119258886830669e-11
3,4.756423372582417e-11,1.154481907966771e-11,1.1055855954719624e-15,0.968340645884964,6.914289888814421e-11,3.895403978488052e-11
4,3.979046191655169e-11,8.559921823508235e-12,1.14320305776109e-15,1.2450094018520965,5.90644711768005e-11,3.2394407831079446e-11
5,2.7067024625386378e-11,6.524803774913086e-12,1.0745192559835191e-15,1.5216781578192293,4.973400629198895e-11,2.341539672128641e-11
6,1.8866894968118665e-11,5.163593746365811e-12,9.688807518583466e-16,1.7983469137863617,4.350966708400503e-11,1.6108796829634327e-11
7,1.4200104671430073e-11,4.2965792250817885e-12,8.655424363965706e-16,2.0750156697534945,3.889705173875556e-11,1.1141695170311981e-11
8,1.1611172007130218e-11,3.731310519754994e-12,8.092962687184104e-16,2.351684425720627,3.520633514292027e-11,8.59472439553006e-12
9,8.630554268408782e-12,3.3392959103284108e-12,7.072909590724058e-16,2.6283531816877597,3.213249856575153e-11,5.87365471345414e-12
10,5.154940968620009e-12,2.934367966947571e-12,4.953556443006039e-16,2.905021937654892,2.946263572232925e-11,2.6066380898519625e-12
11,1.239619916533322e-11,2.5952254364639456e-12,1.0530044598796732e-15,3.181690693622025,2.7492694087134955e-11,1.0754702102866399e-11
12,,,,3.458359449589157,,
13,,,,3.73502820555629,,
14,,,,4.011696961523422,,
15,,,,4.288365717490555,,
16,,,,4.565034473457688,,
17,,,,4.8417032294248195,,
18,,,,5.118371985391953,,
19,,,,5.395040741359086,,
20,,,,5.671709497326217,,
21,,,,5.948378253293351,,
22,,,,6.225047009260484,,
23,,,,6.501715765227615,,
24,,,,6.778384521194749,,
25,,,,7.05505327716188,,
26,,,,7.331722033129013,,
27,,,,7.608390789096147,,
28,,,,7.885059545063278,,
29,,,,8.161728301030411,,
