mean_a_r_py,mean_a_r_total_py,mean_r
9.520229977021162e-13,9.596583617619701e-12,0.19558529160275592
2.30191391959559e-12,2.3751241403759308e-11,0.5867558748082677
3.0905795219343298e-12,3.444711497923512e-11,0.9779264580137796
3.476433356640844e-12,4.135742111232939e-11,1.3690970412192915
3.37697197760967e-12,4.357108302187411e-11,1.7602676244248032
3.2710880664567838e-12,4.339336253933956e-11,2.1514382076303153
3.1114717281179205e-12,4.202426519069957e-11,2.542608790835827
2.869350576447129e-12,3.9881582318988255e-11,2.9337793740413387
2.618224658959033e-12,3.712445456125744e-11,3.324949957246851
2.4096401767875077e-12,3.4911159976824205e-11,3.7161205404523625
2.0923536371170486e-12,3.276544086970727e-11,4.107291123657875
1.899321225769018e-12,3.09339566105404e-11,4.498461706863386
1.8425800698995224e-12,2.9476163054850533e-11,4.8896322900688975
1.7309426027535176e-12,2.8088782020153226e-11,5.280802873274411
1.6859583456453075e-12,2.6675628526818054e-11,5.671973456479922
1.4609905317325564e-12,2.4708917172612912e-11,6.063144039685433
1.315896833881053e-12,2.3551422945043325e-11,6.454314622890946
1.1318026695333984e-12,2.1574411426705335e-11,6.845485206096457
1.0374873634754787e-12,2.100506077286996e-11,7.2366557893019685
9.772133830847082e-13,1.9839597880368823e-11,7.6278263725074815
9.479448770631463e-13,1.908638210071206e-11,8.018996955712993
8.230874237610682e-13,1.7606273655388652e-11,8.410167538918504
7.493744092546845e-13,1.6976406696451588e-11,8.801338122124017
7.162510811448842e-13,1.6163545142887874e-11,9.192508705329528
6.838015681761547e-13,1.55520862219379e-11,9.583679288535041
6.512016435932693e-13,1.4213544939804222e-11,9.974849871740552
6.20443096110236e-13,1.4094973391441506e-11,10.366020454946064
6.302369246903961e-13,1.424417009848586e-11,10.757191038151575
6.079012302424061e-13,1.3116285919403735e-11,11.148361621357088
5.357155011967821e-13,1.225692824153255e-11,11.5395322045626
