mean_a_r_py,mean_a_r_total_py,mean_r
3.5532206571775436e-12,1.304791465755329e-11,0.29039131292749815
2.092891580152919e-11,8.298469832601623e-11,0.8711739387824944
2.108260686266301e-11,9.671477407223184e-11,1.4519565646374906
1.5583135878557346e-11,8.684500737629088e-11,2.032739190492487
1.062301068210416e-11,7.137296147590822e-11,2.6135218163474834
8.13598396099813e-12,6.101532468487728e-11,3.1943044422024798
6.410697951008008e-12,5.23997861328992e-11,3.7750870680574757
5.135547275478588e-12,4.5705792792639454e-11,4.355869693912473
4.693486995247328e-12,4.0782667547923625e-11,4.936652319767468
4.274852718910818e-12,3.6378631217541256e-11,5.517434945622465
4.025407500997647e-12,3.3161933049079834e-11,6.098217571477461
3.77870784471232e-12,3.051030465859916e-11,6.679000197332457
3.510188136561295e-12,2.7926285269582063e-11,7.259782823187454
3.2591651839015783e-12,2.5648184276676594e-11,7.840565449042449
2.6987803633551894e-12,2.3007444799385377e-11,8.421348074897447
2.641964224006167e-12,2.1989439087064436e-11,9.002130700752442
2.4704297377165705e-12,2.0575754745199016e-11,9.58291332660744
2.117614330101654e-12,1.8810984673298597e-11,10.163695952462435
1.986352835263541e-12,1.7800040140322476e-11,10.74447857831743
1.8284042000099195e-12,1.6876427396618172e-11,11.325261204172428
1.6353129571644774e-12,1.6039020907187124e-11,11.906043830027425
1.5918232959067923e-12,1.5504693571571938e-11,12.48682645588242
1.4037586168198882e-12,1.425144908695147e-11,13.067609081737416
1.28334569358231e-12,1.358351347569972e-11,13.648391707592413
1.2436124083743605e-12,1.2823832299696192e-11,14.229174333447409
1.1769358285922492e-12,1.2315016889104684e-11,14.809956959302404
1.0760866524266682e-12,1.1636422238193773e-11,15.390739585157402
1.049804655188852e-12,1.1337593613392658e-11,15.971522211012399
9.379747879022414e-13,1.0781439730606808e-11,16.552304836867393
9.149446924663332e-13,1.0391585410542472e-11,17.133087462722393
