mean_a_r_py,mean_a_r_total_py,mean_r
1.0003853951392924e-12,7.33532356511873e-12,0.11536763545671286
2.7225269395835508e-12,1.9725057359050213e-11,0.3461029063701386
4.463626557554659e-12,3.2450889609111916e-11,0.5768381772835642
5.748575781475331e-12,4.274054755767141e-11,0.8075734481969901
6.08430518051886e-12,4.8826174816252364e-11,1.0383087191104157
6.2052621326178364e-12,5.2474814137409874e-11,1.2690439900238415
5.927504229275248e-12,5.419071491359955e-11,1.499779260937267
5.414873724069427e-12,5.3385353095531194e-11,1.730514531850693
4.51909548306713e-12,5.074941054129395e-11,1.9612498027641185
3.955186571140927e-12,4.779840619895247e-11,2.191985073677544
3.462828374595099e-12,4.5148290136742774e-11,2.42272034459097
3.0693802873274288e-12,4.253380899520436e-11,2.653455615504396
2.6885666528390153e-12,3.9574954572968606e-11,2.884190886417821
2.3720469055324457e-12,3.735287611118997e-11,3.1149261573312472
2.20059481849209e-12,3.4735758265626334e-11,3.3456614282446733
2.181361967502441e-12,3.3509609775473084e-11,3.5763966991580984
1.8041957998027287e-12,3.0328535709241654e-11,3.8071319700715245
1.683328230017485e-12,2.889002632299873e-11,4.03786724098495
1.6103448699616501e-12,2.731357518574811e-11,4.268602511898376
1.5826818408131018e-12,2.5751668762623458e-11,4.499337782811802
1.5031021583469474e-12,2.4921191601564915e-11,4.730073053725227
1.5783674546827777e-12,2.3639990284798326e-11,4.960808324638653
1.3350636598405225e-12,2.2364885501978364e-11,5.191543595552078
1.1569963957790898e-12,2.1553004561547648e-11,5.422278866465504
1.292772025495226e-12,2.0632903249281986e-11,5.65301413737893
0.0,0.0,5.883749408292356
0.0,0.0,6.114484679205781
1.0819575492688416e-12,1.8897350080048325e-11,6.3452199501192075
0.0,0.0,6.575955221032633
7.16840451178648e-13,1.6885098339134312e-11,6.806690491946059
