mean_a_r_py,mean_a_r_total_py,mean_r
8.121403074753168e-13,5.3509433237004465e-12,0.18502382954559263
1.9445512687780324e-12,1.2384076986339535e-11,0.5550714886367779
3.363582503071602e-12,2.0743747143616318e-11,0.9251191477279632
4.457820746976522e-12,2.773234303631768e-11,1.2951668068191484
5.2793363268794544e-12,3.3139735921530226e-11,1.6652144659103336
5.70588825964492e-12,3.6330374074360437e-11,2.035262125001519
5.954197266369127e-12,3.8505878211046794e-11,2.4053097840927045
6.033735231881617e-12,3.9527137552623586e-11,2.775357443183889
5.9151703928213465e-12,3.960030749552504e-11,3.145405102275075
5.588591920215996e-12,3.886171467129597e-11,3.5154527613662596
5.284591991827777e-12,3.7795038795511246e-11,3.8855004204574453
4.8650244920052044e-12,3.6636054281220256e-11,4.25554807954863
4.430893960752243e-12,3.5066641314596615e-11,4.625595738639816
4.053890617316738e-12,3.360076474454653e-11,4.995643397731001
3.719495292990401e-12,3.2315560299489556e-11,5.365691056822186
3.2413955848378094e-12,3.047187477609481e-11,5.735738715913371
2.9849102853843836e-12,2.9146676392071556e-11,6.105786375004557
2.902749722468923e-12,2.858072096939708e-11,6.475834034095742
2.738067743249939e-12,2.7392036982004413e-11,6.845881693186927
2.541447916022342e-12,2.623598369170309e-11,7.2159293522781125
2.3764801805318367e-12,2.5361293897617032e-11,7.585977011369298
2.327142214627904e-12,2.4906190467552773e-11,7.956024670460483
2.1676044241269055e-12,2.377819445723034e-11,8.326072329551668
2.037680100179355e-12,2.2805361230691526e-11,8.696119988642852
1.975212044977674e-12,2.2447841972699387e-11,9.066167647734039
1.7875857607485212e-12,2.151717662518617e-11,9.436215306825224
1.7744428727976245e-12,2.1037204048661605e-11,9.80626296591641
1.7034631132649515e-12,2.0276325570817593e-11,10.176310625007595
1.5966070763068057e-12,1.968327745460318e-11,10.54635828409878
1.54447433465614e-12,1.8860672097059373e-11,10.916405943189964
