mean_a_r_py,mean_a_r_total_py,mean_r
3.185051559372383e-13,4.7618733524546816e-12,0.1334814501555859
7.040896910162075e-13,1.0511029261694305e-11,0.40044435046675775
1.0438126873639079e-12,1.6455829125755335e-11,0.6674072507779296
1.1175498968374358e-12,2.2125647512940397e-11,0.9343701510891014
1.237148514937595e-12,2.618682256692827e-11,1.2013330514002731
1.1808079128666528e-12,2.8548449230280566e-11,1.4682959517114451
1.1538767025112905e-12,2.8622967448011958e-11,1.7352588520226169
1.1782297444666122e-12,2.8494733450348483e-11,2.0022217523337886
1.1308278600199099e-12,2.789870810136543e-11,2.2691846526449604
1.0525539897566675e-12,2.6719734455100524e-11,2.536147552956132
1.0290289391749861e-12,2.57726217207671e-11,2.803110453267304
9.892517048811783e-13,2.4847033726309507e-11,3.0700733535784757
9.529829158146186e-13,2.360148254537024e-11,3.337036253889648
8.614057964791425e-13,2.215749039459555e-11,3.6039991542008196
8.629590914719469e-13,2.1404968464665427e-11,3.8709620545119914
6.029480738498731e-13,2.0338217351641396e-11,4.137924954823163
6.578218664472768e-13,1.941332307521471e-11,4.404887855134335
5.563000685065379e-13,1.8282735384560105e-11,4.671850755445506
6.31587686466907e-13,1.8184445344354296e-11,4.938813655756679
6.842127008492628e-13,1.730369016725098e-11,5.20577655606785
6.692917057997112e-13,1.696604090786202e-11,5.472739456379022
6.640647416265806e-13,1.6280367965710527e-11,5.739702356690193
7.160538642866445e-13,1.5247782225307893e-11,6.006665257001366
6.617846346856978e-13,1.4917089123465316e-11,6.273628157312538
0.0,0.0,6.540591057623709
6.015551278210787e-13,1.435442895663991e-11,6.807553957934882
5.638617586694613e-13,1.4192891090142012e-11,7.074516858246053
4.918770444175795e-13,1.4107061492788326e-11,7.341479758557226
5.64450870789871e-13,1.2452918836558043e-11,7.608442658868396
5.173366842985611e-13,1.2129918612142022e-11,7.875405559179569
