mean_a_r_py,mean_a_r_total_py,mean_r
4.199804466488022e-12,1.9563096485923488e-11,0.2296242956611589
1.2439593087635877e-11,5.835887345805386e-11,0.6888728869834767
1.8261471646537184e-11,8.793844236706855e-11,1.1481214783057945
2.064917688532065e-11,1.0343168199424885e-10,1.6073700696281124
2.0249514333363343e-11,1.0720593443562317e-10,2.06661866095043
1.8277576932205502e-11,1.035340710220666e-10,2.525867252272748
1.586789080791059e-11,9.618619599219238e-11,2.9851158435950658
1.3331411031385288e-11,8.757068518552683e-11,3.4443644349173836
1.1365032909835367e-11,8.004482939094146e-11,3.903613026239701
9.782272820673902e-12,7.262878551738697e-11,4.362861617562019
8.569033201247713e-12,6.643974281289211e-11,4.822110208884337
7.43915612642367e-12,6.080340873991079e-11,5.281358800206655
6.567656655943444e-12,5.6012023164663885e-11,5.740607391528973
5.4761976526140974e-12,5.078914376370467e-11,6.1998559828512905
4.585139727478738e-12,4.644928307407725e-11,6.659104574173608
4.382255006966201e-12,4.325704424910542e-11,7.118353165495926
3.792081841162718e-12,4.060692839153872e-11,7.577601756818244
3.689530920823044e-12,3.728874178240127e-11,8.036850348140561
3.5276789797262652e-12,3.5796169619163436e-11,8.496098939462879
3.0645693324257197e-12,3.3510497188306696e-11,8.955347530785197
2.870154717411084e-12,3.1577885397148886e-11,9.414596122107515
2.700923935602853e-12,3.015069144160901e-11,9.873844713429833
2.3876802191537378e-12,2.835953527163897e-11,10.33309330475215
2.320102551228691e-12,2.7163043298591973e-11,10.792341896074468
2.2194143550985032e-12,2.585207375037095e-11,11.251590487396786
2.0746397251902968e-12,2.472640849888557e-11,11.710839078719104
1.901169865421322e-12,2.3679783060877243e-11,12.170087670041422
1.897247676843245e-12,2.2793465884266285e-11,12.62933626136374
1.6885144555175824e-12,2.141033708926786e-11,13.088584852686058
1.6618451939697989e-12,2.0588878937059426e-11,13.547833444008376
