mean_a_r_py,mean_a_r_total_py,mean_r
1.2161151676012688e-12,9.752683732704342e-12,0.2180141668818119
3.3391325594228647e-12,2.773887641998837e-11,0.6540425006454358
4.711142436302831e-12,4.169627705982767e-11,1.0900708344090595
4.705935450391383e-12,4.683398681679532e-11,1.5260991681726834
4.102350317991489e-12,4.591358748662748e-11,1.9621275019363071
3.5631138682322437e-12,4.2890395325694826e-11,2.398155835699931
3.154042483920332e-12,3.99936021828722e-11,2.834184169463555
2.9365684581012145e-12,3.625839353133765e-11,3.270212503227179
2.6184043567766274e-12,3.310713535400499e-11,3.706240836990802
2.397796826960338e-12,3.0318380937349684e-11,4.142269170754426
2.297696322651853e-12,2.815669499697104e-11,4.57829750451805
2.1657556464851878e-12,2.6181995523713596e-11,5.014325838281675
2.0178867811239147e-12,2.449275034926859e-11,5.450354172045298
1.9236089696115406e-12,2.3029209781042e-11,5.886382505808921
1.7752426345941033e-12,2.1586869187515472e-11,6.322410839572545
1.7205911506507804e-12,2.0471070432461174e-11,6.7584391733361695
1.5903879059130506e-12,1.9501481133435008e-11,7.194467507099793
1.4794367586487284e-12,1.8356985325963354e-11,7.630495840863417
1.3781214639144308e-12,1.748949943920374e-11,8.066524174627041
1.2712967563381165e-12,1.6625305413850444e-11,8.502552508390664
1.1937413043933217e-12,1.5772325168698706e-11,8.938580842154288
1.138224780881743e-12,1.5426559831276184e-11,9.374609175917913
1.0876053714810937e-12,1.4581026899269814e-11,9.810637509681536
1.042859779090657e-12,1.390278852506953e-11,10.246665843445161
9.37136851258876e-13,1.3386638270777046e-11,10.682694177208784
8.72330092245903e-13,1.2477649984049653e-11,11.118722510972407
0.0,0.0,11.55475084473603
7.958007565731697e-13,1.1899336114421508e-11,11.990779178499654
0.0,0.0,12.426807512263279
6.65413771153839e-13,1.0764367665001009e-11,12.862835846026902
