mean_a_r_py,mean_a_r_total_py,mean_r
7.24731045707652e-13,1.005839253279695e-11,0.3826288114430239
1.89842346186526e-12,2.8296386339551085e-11,1.1478864343290718
2.1899344244469646e-12,3.6686013917354166e-11,1.9131440572151197
1.991879387106464e-12,3.65133647119076e-11,2.6784016801011674
1.899174213297985e-12,3.390271825848663e-11,3.443659302987215
1.8750388888470784e-12,3.09752591686017e-11,4.208916925873263
1.9325980506517627e-12,2.855261112939365e-11,4.974174548759311
2.0957092461189273e-12,2.6480764497796556e-11,5.739432171645358
2.391432578193192e-12,2.4519915602984322e-11,6.504689794531407
2.54527162340305e-12,2.2675047309597282e-11,7.269947417417454
2.448767476730455e-12,2.0664072235764402e-11,8.035205040303502
2.109408624692675e-12,1.8719240691601815e-11,8.800462663189549
1.899623479584929e-12,1.7340752094380235e-11,9.565720286075598
1.5736258917993004e-12,1.5678109262920865e-11,10.330977908961646
1.3295329169695258e-12,1.4467203551028296e-11,11.096235531847693
1.140240034073225e-12,1.3068431283121099e-11,11.86149315473374
9.845294098157534e-13,1.2448029587258954e-11,12.62675077761979
8.606972874798295e-13,1.1423055435629574e-11,13.392008400505837
9.033228110031183e-13,1.1334234446687291e-11,14.157266023391884
7.810829309496635e-13,1.0603109789178125e-11,14.922523646277932
6.963096753939346e-13,1.0060491536277492e-11,15.687781269163981
6.465641167774531e-13,9.600176871408542e-12,16.453038892050028
5.907562360924995e-13,9.129677789291315e-12,17.218296514936075
5.695453234242328e-13,8.933584318389816e-12,17.983554137822125
5.117863927615205e-13,7.916845373787646e-12,18.748811760708172
0.0,0.0,19.51406938359422
0.0,0.0,20.279327006480266
4.2312003834480474e-13,7.302064190849122e-12,21.044584629366316
3.9176927633584493e-13,7.006378851351396e-12,21.809842252252363
3.7563072922176425e-13,6.647157916239503e-12,22.57509987513841
