mean_a_r_py,mean_a_r_total_py,mean_r
3.0261256159949246e-12,1.3565671994267151e-11,0.20436393054689167
7.853302397210316e-12,3.533095276216963e-11,0.6130917916406751
1.119233280010899e-11,5.1705818014487614e-11,1.0218196527344583
1.2284055497615505e-11,5.868876159346468e-11,1.4305475138282417
1.1700895061540923e-11,5.8677025879257e-11,1.839275374922025
1.0727218801076308e-11,5.5553803725978266e-11,2.2480032360158084
9.493423602334092e-12,5.1087250058824274e-11,2.656731097109592
8.547732561140281e-12,4.692089885656069e-11,3.065458958203375
7.657054367318823e-12,4.3046929803553957e-11,3.4741868192971586
6.789709838366056e-12,3.9795943175352776e-11,3.8829146803909413
5.907125644064529e-12,3.706036324238012e-11,4.291642541484725
5.208002361205804e-12,3.392390213428834e-11,4.700370402578509
4.640243649404315e-12,3.166412703346288e-11,5.109098263672292
4.191477431865536e-12,2.97051273602815e-11,5.517826124766075
3.895554708597925e-12,2.7801188604123293e-11,5.926553985859858
3.627359632086681e-12,2.652083501288605e-11,6.335281846953642
3.3445148645248705e-12,2.5213121926642035e-11,6.744009708047425
3.0717352495196626e-12,2.3944075263787623e-11,7.152737569141209
2.8309115362380517e-12,2.27741347907463e-11,7.561465430234992
2.581366330263528e-12,2.167930414055328e-11,7.9701932913287745
2.425506093787132e-12,2.0581722942374334e-11,8.378921152422558
2.400759455762327e-12,2.0031449149599828e-11,8.787649013516342
2.041078378188461e-12,1.854840234061828e-11,9.196376874610126
2.0862623758307084e-12,1.8185399955215422e-11,9.60510473570391
1.8204387673788756e-12,1.7073670037463977e-11,10.013832596797691
1.7890306110975408e-12,1.681318481083316e-11,10.422560457891475
1.7900231215839035e-12,1.6209510195792633e-11,10.831288318985258
1.5289245284499103e-12,1.535631519338e-11,11.240016180079042
1.5057677117656034e-12,1.4860481741232712e-11,11.648744041172826
1.4450960056538561e-12,1.4300901223802757e-11,12.05747190226661
