mean_a_r_py,mean_a_r_total_py,mean_r
1.880570078987861e-12,1.3025289204023338e-11,0.2486582783623067
4.737907401350927e-12,3.154274642500281e-11,0.7459748350869201
7.453914433685947e-12,5.0148428308112784e-11,1.2432913918115336
9.36573555433095e-12,6.381549261573248e-11,1.7406079485361468
1.0349089021194418e-11,7.103163343551663e-11,2.2379245052607604
1.0718012101450845e-11,7.390390207965031e-11,2.7352410619853735
1.0614126705418429e-11,7.366996440610694e-11,3.232557618709987
1.0086563276438362e-11,7.113593748188758e-11,3.7298741754346003
9.532946486541685e-12,6.79617914677834e-11,4.2271907321592135
8.777616133359085e-12,6.410731503435147e-11,4.724507288883828
8.011260376966809e-12,6.057450815844074e-11,5.221823845608441
7.12696015847728e-12,5.626590132675632e-11,5.719140402333053
6.3700197695200155e-12,5.2593794453233585e-11,6.216456959057668
5.755560712855409e-12,4.9563573559588695e-11,6.713773515782281
5.163845978846154e-12,4.6351503087111336e-11,7.211090072506893
4.80599663158588e-12,4.367008974807043e-11,7.708406629231508
4.424575474435047e-12,4.124893328732625e-11,8.20572318595612
3.996935221043825e-12,3.9183852091499806e-11,8.703039742680733
3.7190016786924195e-12,3.732532783333008e-11,9.200356299405348
3.3320256457731864e-12,3.5442640125535484e-11,9.697672856129962
3.2589453653674177e-12,3.3717308156059123e-11,10.194989412854575
2.8849653294236396e-12,3.1716612513301924e-11,10.692305969579188
2.6678774310672097e-12,3.040881826084219e-11,11.1896225263038
2.4839669007276295e-12,2.8765144990851822e-11,11.686939083028415
2.374851052715486e-12,2.770898060485613e-11,12.184255639753028
2.14700575175239e-12,2.6396986052922252e-11,12.681572196477642
2.005028346889385e-12,2.5511792284479315e-11,13.178888753202255
1.950712989468939e-12,2.447685986902923e-11,13.676205309926868
1.7853747652757528e-12,2.3419362547689136e-11,14.17352186665148
1.7351880950762649e-12,2.26988485040589e-11,14.670838423376095
