mean_a_r_py,mean_a_r_total_py,mean_r
1.8248634071529375e-13,6.74257389727577e-12,0.6467614097888458
2.64579321341994e-12,4.267325044100056e-11,1.9402842293665374
2.511526857487938e-12,4.8967137705324625e-11,3.2338070489442288
2.0579257982728205e-12,4.5959141772112495e-11,4.527329868521921
2.0427835753560705e-12,4.0703335027098914e-11,5.820852688099611
2.3437439465027136e-12,3.6717946460446676e-11,7.114375507677304
2.716703136600014e-12,3.301616435772731e-11,8.407898327254994
3.1623684852208083e-12,3.0398371838482966e-11,9.701421146832686
3.3127601113934413e-12,2.8059606620959106e-11,10.994943966410379
3.3654276251955947e-12,2.5811080768067668e-11,12.28846678598807
2.9510669530838086e-12,2.3327008179234855e-11,13.581989605565761
2.709336908306669e-12,2.1341709328106187e-11,14.875512425143453
2.4768026874233986e-12,1.961268438625459e-11,16.169035244721144
2.1724472086588864e-12,1.7993241355265776e-11,17.462558064298836
1.9598217201644457e-12,1.6492781591240544e-11,18.75608088387653
1.7827424657624912e-12,1.516713648039867e-11,20.049603703454217
1.5824761505764808e-12,1.3930000451855394e-11,21.343126523031913
1.458493509332828e-12,1.3025753824260558e-11,22.6366493426096
1.3655506364599825e-12,1.2045157894575212e-11,23.930172162187294
1.263315977488818e-12,1.140906551088008e-11,25.223694981764986
1.1490455781707686e-12,1.068008321776921e-11,26.517217801342674
1.0987247080402633e-12,1.0023797786923615e-11,27.81074062092037
1.0091437080698535e-12,9.562572005223268e-12,29.10426344049806
9.482602304444844e-13,8.961656959066813e-12,30.397786260075755
9.051164626211216e-13,8.690823264929304e-12,31.691309079653443
8.603542245090588e-13,8.244343098364648e-12,32.98483189923114
7.920795000681277e-13,7.747167593772693e-12,34.27835471880883
7.433361711679426e-13,7.345576471665325e-12,35.57187753838652
6.906594711413241e-13,7.0970511813483905e-12,36.865400357964205
6.398880196816733e-13,6.600718612940931e-12,38.1589231775419
