mean_a_r_py,mean_a_r_total_py,mean_r
7.903563887533774e-13,5.487866234082933e-12,0.28878174973159365
2.6161344876410685e-12,1.940936427674695e-11,0.866345249194781
4.0092420751374295e-12,3.02569328665513e-11,1.4439087486579683
4.862641414611631e-12,3.6296341470196345e-11,2.021472248121156
5.2962037832839e-12,3.8869646782989845e-11,2.5990357475843426
5.405814005450971e-12,3.8836741932870375e-11,3.1765992470475304
5.425254457851514e-12,3.775422366494956e-11,3.7541627465107177
5.408175461348293e-12,3.6098786200079727e-11,4.331726245973905
5.182595251500058e-12,3.37194928541323e-11,4.909289745437092
4.822597481259244e-12,3.1352464632893924e-11,5.48685324490028
4.5793862536127305e-12,2.9294982143000674e-11,6.0644167443634664
4.286632525046254e-12,2.729739477049739e-11,6.641980243826654
4.021470221618282e-12,2.545865723916605e-11,7.219543743289841
3.769907342389329e-12,2.3866438451782685e-11,7.797107242753029
3.520835535952963e-12,2.2413243081859187e-11,8.374670742216217
3.3346796632618195e-12,2.1069618582857242e-11,8.952234241679403
3.0380871548453167e-12,2.0111039408319448e-11,9.529797741142591
2.7994701311017035e-12,1.8891939297767078e-11,10.107361240605776
2.6010026058907298e-12,1.8020708109336725e-11,10.684924740068965
2.4327225956954632e-12,1.7193873471177006e-11,11.262488239532154
2.3114749280689964e-12,1.6320776425798643e-11,11.840051738995339
2.1927127754718514e-12,1.581762058423505e-11,12.417615238458527
2.0424771090076317e-12,1.4989541945742696e-11,12.995178737921716
1.9408548656410905e-12,1.4286463514707545e-11,13.572742237384901
1.8403436747715914e-12,1.3760583095815445e-11,14.15030573684809
1.7379279266110633e-12,1.3134264023678063e-11,14.727869236311275
1.6317836293839997e-12,1.2580757925712345e-11,15.305432735774463
1.5585458956933673e-12,1.2183985588782388e-11,15.882996235237652
1.441029541982136e-12,1.1570908034761004e-11,16.460559734700837
1.4177969977793643e-12,1.134554893567053e-11,17.038123234164026
