mean_a_r_py,mean_a_r_total_py,mean_r
4.858647385737367e-13,6.722470775427434e-12,0.09810342986721927
1.1040288931979941e-12,1.6080657066144214e-11,0.29431028960165784
1.7390945303279067e-12,2.5197284270013588e-11,0.49051714933609636
2.335329283545273e-12,3.371505753084116e-11,0.6867240090705349
2.602316304467657e-12,4.0020501351225553e-11,0.8829308688049735
2.9499775880146983e-12,4.462933845882783e-11,1.0791377285394121
2.9554507209338967e-12,4.799844177910475e-11,1.2753445882738506
3.009154974928108e-12,4.9126594002887734e-11,1.471551448008289
2.916491936630823e-12,4.957256011768665e-11,1.6677583077427278
2.7995275833270266e-12,4.8587476833167843e-11,1.8639651674771662
2.746701883362039e-12,4.787441042111868e-11,2.0601720272116046
2.493436665977435e-12,4.566664375293549e-11,2.2563788869460435
2.298056317248619e-12,4.403085622719028e-11,2.452585746680482
2.1971098673466908e-12,4.227568488573092e-11,2.6487926064149203
1.992915503550251e-12,4.05970159062507e-11,2.8449994661493587
1.7552001276818578e-12,3.85558965784115e-11,3.0412063258837976
1.7509607908961442e-12,3.747319935417677e-11,3.237413185618236
1.5878661868290022e-12,3.6113661290248254e-11,3.433620045352675
1.4885611543917365e-12,3.464199227525666e-11,3.6298269050871133
1.3930828339544801e-12,3.325608561976547e-11,3.8260337648215517
1.2119585046741096e-12,3.1318073789346955e-11,4.02224062455599
1.3100394395895364e-12,3.1468109542697635e-11,4.2184474842904285
1.1926566648660124e-12,2.8749757155433886e-11,4.414654344024868
1.1056343426678564e-12,2.813457709325514e-11,4.610861203759306
1.1010570553351106e-12,2.8179531920634726e-11,4.807068063493745
1.0834390706518186e-12,2.658727459093617e-11,5.003274923228183
9.214803161555828e-13,2.533371249579154e-11,5.199481782962621
9.539844391249398e-13,2.4906510067597144e-11,5.39568864269706
8.608628738724568e-13,2.4165986889038034e-11,5.591895502431498
8.057599401703885e-13,2.377817227197617e-11,5.7881023621659375
