mean_a_r_py,mean_a_r_total_py,mean_r
1.5170849231567218e-12,1.1742466615482582e-11,0.13929957567439374
3.813023959707206e-12,2.954446328930371e-11,0.4178987270231812
5.62253389671081e-12,4.592429409364525e-11,0.6964978783719686
6.192393549911679e-12,5.457998406814675e-11,0.9750970297207562
5.973054861065267e-12,5.742039942921798e-11,1.2536961810695437
5.37968676440671e-12,5.564022208942032e-11,1.532295332418331
4.588681304222213e-12,5.234664944613111e-11,1.8108944837671186
4.051051393377908e-12,4.913244781917834e-11,2.089493635115906
3.6679645637632795e-12,4.6471201140900095e-11,2.3680927864646937
3.317261994867566e-12,4.361338167815078e-11,2.646691937813481
2.956488427076335e-12,4.050770786344274e-11,2.9252910891622688
2.716971961274717e-12,3.8215449482507183e-11,3.203890240511056
2.2049263150019817e-12,3.5386435972438986e-11,3.4824893918598434
1.9900819302566236e-12,3.329777431470554e-11,3.761088543208631
1.934591754939081e-12,3.179382647274438e-11,4.0396876945574185
1.7822967275328932e-12,3.002872519096961e-11,4.318286845906206
1.7569507119907307e-12,2.8824966298040908e-11,4.596885997254994
1.5519236262420268e-12,2.7609230647741735e-11,4.875485148603781
1.455782733408051e-12,2.613188873366001e-11,5.154084299952569
1.3669823049490067e-12,2.475496349364347e-11,5.432683451301356
1.2665952252648337e-12,2.3848671631423392e-11,5.711282602650144
1.279947377463261e-12,2.3390690929188575e-11,5.989881753998931
1.1125482268932344e-12,2.190379863257442e-11,6.268480905347719
1.0498125364705778e-12,2.1391839214487453e-11,6.547080056696506
9.902353144054131e-13,2.052517458581749e-11,6.825679208045293
9.79500088540308e-13,1.9826242742481793e-11,7.104278359394081
8.724183905697333e-13,1.910191233006787e-11,7.382877510742868
8.979541057237037e-13,1.8763528750069452e-11,7.661476662091656
0.0,0.0,7.940075813440443
0.0,0.0,8.21867496478923
