mean_a_r_py,mean_a_r_total_py,mean_r
1.337862816408567e-12,7.642114210711518e-12,0.9212799172834624
6.487846689049205e-12,3.270319691859275e-11,2.763839751850387
8.69294467183526e-12,4.5379254159564677e-11,4.606399586417312
8.969792401040574e-12,4.9121962563020525e-11,6.448959420984236
8.219609768090498e-12,4.692949517047548e-11,8.291519255551162
7.614615838448087e-12,4.343755053486827e-11,10.134079090118085
7.136734609384083e-12,3.9682266052914804e-11,11.97663892468501
6.9368009730204395e-12,3.657880797893062e-11,13.819198759251936
6.788738457529561e-12,3.406704447870637e-11,15.66175859381886
6.246182282694486e-12,3.1064040242261627e-11,17.504318428385787
5.465922513332943e-12,2.79687483042262e-11,19.346878262952707
4.926829007520438e-12,2.5361734531783462e-11,21.189438097519634
4.618163817646556e-12,2.3509784257484428e-11,23.03199793208656
4.33852390799425e-12,2.1759246650750056e-11,24.87455776665348
3.755027380080092e-12,2.020340910184616e-11,26.71711760122041
3.225489545725464e-12,1.843263312806209e-11,28.559677435787336
2.979766515792739e-12,1.7182118816850352e-11,30.402237270354256
2.6461161614418816e-12,1.603475204685873e-11,32.24479710492118
2.475843985249611e-12,1.509465707112554e-11,34.0873569394881
2.2647977780647495e-12,1.4062479623086158e-11,35.92991677405503
2.009471807603939e-12,1.3202040277789076e-11,37.77247660862196
1.8292926390536517e-12,1.2344397684080171e-11,39.615036443188885
1.7624439474546194e-12,1.1829311274959518e-11,41.457596277755805
1.5693786332200869e-12,1.1186381992026439e-11,43.30015611232273
1.4234919004539139e-12,1.0515148076670681e-11,45.14271594688965
1.3436169098422807e-12,1.0121694583586902e-11,46.98527578145658
1.2471941219633501e-12,9.59532982478972e-12,48.827835616023506
1.1822191362543037e-12,9.18074435231381e-12,50.67039545059043
1.065263149362415e-12,8.577123046789157e-12,52.512955285157354
1.035385619502471e-12,8.366708868551061e-12,54.35551511972428
