mean_a_r_py,mean_a_r_total_py,mean_r
2.652977092250208e-12,1.4152026291879894e-11,0.23410103301005408
6.019867007632737e-12,2.545071572842666e-11,0.7023030990301622
1.0325528239778145e-11,4.017985153554223e-11,1.1705051650502702
1.1686421747888694e-11,4.907266021469567e-11,1.6387072310703785
1.1705876347313103e-11,5.283836402129472e-11,2.106909297090487
1.0597944855391514e-11,5.3326051824857754e-11,2.5751113631105946
9.491296137810395e-12,5.1995727194039534e-11,3.043313429130703
8.206424642298465e-12,4.9508916768203236e-11,3.511515495150811
7.356109500982509e-12,4.732927999340998e-11,3.9797175611709195
6.446741379721785e-12,4.482912951787461e-11,4.447919627191028
5.569725738249869e-12,4.2092711335043195e-11,4.916121693211136
5.245802561992505e-12,4.042371529138055e-11,5.384323759231243
4.783219590908496e-12,3.832912846340591e-11,5.852525825251352
4.4061319006996226e-12,3.6624834574153214e-11,6.32072789127146
4.1402852864872805e-12,3.487362862928522e-11,6.788929957291568
3.932587731222831e-12,3.333585014153731e-11,7.2571320233116765
3.5343914256018065e-12,3.13155344424133e-11,7.725334089331785
3.30336578991711e-12,2.979007077789419e-11,8.193536155351893
3.1037780470294103e-12,2.854051582981362e-11,8.661738221372001
2.8372735947124327e-12,2.694497868622425e-11,9.12994028739211
2.6909962751968015e-12,2.5601258337319604e-11,9.598142353412218
2.5129297270118197e-12,2.4555493223579662e-11,10.066344419432326
2.342181302886293e-12,2.3527736014940443e-11,10.534546485452434
2.2428201349135944e-12,2.2579650479774584e-11,11.002748551472543
2.1256131632316167e-12,2.1678358017957043e-11,11.47095061749265
1.9755189161747473e-12,2.071859247306613e-11,11.939152683512757
1.9099180537184342e-12,1.934325284635684e-11,12.407354749532866
1.780045786171615e-12,1.8640555422290298e-11,12.875556815552974
1.7478998092936316e-12,1.8234016805179414e-11,13.343758881573082
1.6751920034535037e-12,1.7481848550624337e-11,13.81196094759319
