mean_a_r_py,mean_a_r_total_py,mean_r
1.7024221517219097e-12,1.2983351530582443e-11,0.2578860998669411
5.270145605781199e-12,3.926055030188492e-11,0.7736582996008233
7.707257174617546e-12,5.951447809168144e-11,1.2894304993347054
8.586951748972387e-12,6.764596390274905e-11,1.8052026990685879
8.778532739086802e-12,6.927803997249892e-11,2.32097489880247
8.664010741745688e-12,6.710898463488602e-11,2.8367470985363523
8.329833830480051e-12,6.286946685876093e-11,3.3525192982702343
7.975800724243247e-12,5.820220972703304e-11,3.8682914980041168
7.194936029569e-12,5.425718950676214e-11,4.384063697737998
6.5899760091626165e-12,4.9969322412384716e-11,4.899835897471881
5.906272222883601e-12,4.561029716459882e-11,5.415608097205763
5.381025648330664e-12,4.2238167964673426e-11,5.931380296939645
4.822446940868754e-12,3.892811906747714e-11,6.447152496673528
4.367842505316096e-12,3.620306191841338e-11,6.96292469640741
3.955010792784285e-12,3.375915981022086e-11,7.478696896141292
3.6170212345018376e-12,3.1723803217096194e-11,7.994469095875175
3.361812650313142e-12,2.994514465147886e-11,8.510241295609056
3.1368760580216874e-12,2.8222407618070424e-11,9.026013495342939
2.9177594085326345e-12,2.6893334699292343e-11,9.541785695076822
2.683485012466971e-12,2.5064755254568566e-11,10.057557894810703
2.506876227827878e-12,2.3917923357166943e-11,10.573330094544584
2.37610304485437e-12,2.2929752021096635e-11,11.089102294278469
2.198873945855819e-12,2.1595083715020512e-11,11.60487449401235
2.0611321817389756e-12,2.085973230870244e-11,12.120646693746231
1.980928623957685e-12,1.998139415549671e-11,12.636418893480116
1.8406035323216136e-12,1.9076669518922435e-11,13.152191093213997
1.7454975750846808e-12,1.8124379945554442e-11,13.667963292947878
1.5966716522084117e-12,1.7069817867921245e-11,14.183735492681762
1.514363893191368e-12,1.6565406354399412e-11,14.699507692415644
1.4618882777075378e-12,1.602100081845034e-11,15.215279892149525
