mean_a_r_py,mean_a_r_total_py,mean_r
1.240995164637914e-10,2.3137924619972534e-10,0.31127293517738674
2.3194161470826377e-10,4.6132120220955046e-10,0.9338188055321602
1.9245751054254849e-10,4.333018603517416e-10,1.5563646758869338
1.5105852438442345e-10,3.6698812338639817e-10,2.178910546241707
1.3192706821348585e-10,3.2364002690619625e-10,2.801456416596481
1.174290832517413e-10,2.8625868448279936e-10,3.4240022869512545
1.028874086090019e-10,2.524810773665258e-10,4.046548157306027
8.652672520514546e-11,2.1851893791135465e-10,4.669094027660801
7.13544966828702e-11,1.8873175488706032e-10,5.291639898015575
5.845546067601508e-11,1.6296067045171652e-10,5.9141857683703485
4.841370515346652e-11,1.4258856743569898e-10,6.536731638725122
4.151923019665154e-11,1.2744111196799997e-10,7.159277509079895
3.5713883187804163e-11,1.1391882666309188e-10,7.781823379434668
3.1070618460138606e-11,1.0298681977502702e-10,8.404369249789442
2.7229778721937845e-11,9.385791078587344e-11,9.026915120144215
2.380255521354527e-11,8.52931971883094e-11,9.649460990498989
2.102625183816739e-11,7.820409643098366e-11,10.272006860853763
1.887959548765016e-11,7.24147043533281e-11,10.894552731208536
1.6963342740171964e-11,6.713149129513947e-11,11.51709860156331
1.481267527560799e-11,6.129657419358902e-11,12.139644471918084
1.3699961094734566e-11,5.79771133083622e-11,12.762190342272856
1.2505225619663527e-11,5.4380954722506404e-11,13.38473621262763
1.119446284347907e-11,5.088327778724937e-11,14.007282082982403
1.012435336325662e-11,4.6269072792355565e-11,14.629827953337177
9.452295960451027e-12,4.318561898190459e-11,15.25237382369195
8.65727474005274e-12,4.101382288574352e-11,15.874919694046724
7.734178881477346e-12,3.740389102175385e-11,16.497465564401494
0.0,0.0,17.12001143475627
0.0,0.0,17.742557305111042
6.4101372805924046e-12,3.248722737393302e-11,18.36510317546582
