mean_a_r_py,mean_a_r_total_py,mean_r
1.193051334845722e-13,1.5362340074104456e-12,0.039841571203337374
2.942514458203217e-13,3.9821110041735915e-12,0.11952471361001213
4.827760719360008e-13,6.092361499290822e-12,0.1992078560166869
6.388106382074762e-13,9.263332162602454e-12,0.2788909984233616
8.119213420358451e-13,1.1150977846226307e-11,0.35857414083003636
9.71663826008381e-13,1.4246839637462254e-11,0.4382572832367111
1.1298173029710522e-12,1.6373035565291216e-11,0.5179404256433859
1.3044897488131084e-12,1.8229969981351475e-11,0.5976235680500606
1.4113051083978954e-12,1.948665374388711e-11,0.6773067104567354
1.5947834396384315e-12,2.204765792750042e-11,0.75698985286341
1.6745523373251718e-12,2.4578549931060742e-11,0.8366729952700849
1.749079809714908e-12,2.579567433275852e-11,0.9163561376767596
1.8493012355921052e-12,2.7782140252442315e-11,0.9960392800834343
1.8713789937672263e-12,2.860276901905329e-11,1.075722422490109
0.0,0.0,1.1554055648967838
2.039035681570832e-12,3.162731483774933e-11,1.2350887073034587
2.0732809081477165e-12,3.1311163586975026e-11,1.3147718497101333
2.0978717137460854e-12,3.303033111184099e-11,1.3944549921168081
2.0650923742640086e-12,3.273683926061195e-11,1.474138134523483
0.0,0.0,1.5538212769301576
0.0,0.0,1.6335044193368322
2.085107744120045e-12,3.6379041921642335e-11,1.713187561743507
1.9443364701711088e-12,3.51609096958116e-11,1.792870704150182
1.925147134598073e-12,3.586027816765268e-11,1.8725538465568565
2.02599808451795e-12,3.536126529185657e-11,1.9522369889635314
0.0,0.0,2.0319201313702058
1.7696146358444107e-12,3.500764043264353e-11,2.111603273776881
1.7670447639925721e-12,3.463910268600464e-11,2.191286416183556
1.7218911613873531e-12,3.503930303801178e-11,2.27096955859023
0.0,0.0,2.350652700996905
