gal_number,mean_v_sig_ratio,mean_sig_v,mean_sig_v_z,max_v_rot,mean_v_rot
220595,1.2200035417624722,196.5382249681778,196.59869594880283,327.4114797056444,197.44296426904157
220596,2.882522815033434,115.37483671791627,119.63931372442111,425.8093023879393,305.628905385152
220597,3.7132866762621766,55.756992089227445,47.243177156917575,218.45139167721254,191.3708150234623
220598,4.7240761571032985,31.249880897166673,27.834823629091364,154.818677211305,141.18834318947398
220599,4.222276664336876,31.659630285004297,28.304092251196796,132.34375915596334,114.91835994902341
220600,6.409905440915118,19.67368781019398,18.18388266439034,145.11497403813377,123.2923077662576
220601,5.322725283178362,28.05622177127431,28.65045160513272,153.1478067881111,118.01920551198292
220602,7.373884154682081,22.447788205595558,17.72204761626689,126.25095335497292,108.02241885261937
220603,7.368149934005131,31.065229426798027,28.063549840780738,140.20116458019544,103.50928008434067
220607,2.7437557961950536,29.672751020064464,14.980174326678473,114.1835489898501,71.79381325712944
220608,0.8532507145731016,36.19545803598252,32.07401141667018,62.63584574099755,30.811535831599443
220610,0.0,0.0,32.07401141667018,0.0,0.0
220611,4.5166273559040295,13.904891126868124,13.62781764132513,66.2147488768799,58.41445574108068
220612,0.0,0.0,13.62781764132513,0.0,0.0
220613,0.1942766044543089,80.52928983841382,66.04993974740012,42.15202605871834,-15.670572758085848
220614,2.5110985015449367,9.42744262844086,6.02188762789783,35.590800952392755,22.50631923864968
220615,2.72604508830711,10.443243161050795,5.402974917909085,12.597139644811925,4.297631456827589
220616,1.4679254037442007,23.503582379290332,19.872527220664402,48.08992861407745,34.23854427016817
220619,0.636406495975734,19.553369733056225,14.16583416963464,33.44576221906995,11.945413675441774
220620,1.9233944426855174,25.723070560632845,23.556373166106226,64.09225082031347,46.791453452052394
289387,8.319504093797768,15.138244099269997,13.879281291228688,115.46497835069283,107.62693876527511
289389,4.223436374042304,35.25361262252637,36.72483388303714,135.94599067494494,108.46521758370254
289390,1.6831234490492293,31.688213872021464,28.411694703330994,74.9269795587722,42.58431925433042
289391,7.02128275872401,12.367680789585862,12.266618815955974,87.12044420600581,79.51896424532852
289393,5.23155805519209,8.624454466118623,8.353585428617981,55.87032456222119,44.6398443038103
289395,2.392376271409585,21.441054768215945,18.71825112099988,62.17305549070447,49.259805381956774
289396,3.4192218815829754,13.973579408063275,13.325541975037337,57.73916462174459,47.886631778175314
289400,3.6162686191994573,11.49291328070312,8.401100949612614,48.144005362708704,39.852920649849
289407,1.8364209694683935,7.952676683148217,4.266775748703631,21.932724473421985,13.597052242538314
289413,2.463787424418101,6.574400135281575,6.18905751860688,28.89408576648165,17.06406464825907
289431,2.5781626550879753,6.030979160878176,5.77591787847246,23.084318559492683,14.997202828068048
398784,6.961218858123343,48.5784844784575,54.19857839635267,323.8296616963964,300.6107260263767
398785,4.009476169775671,12.606880622830891,12.177104047293499,58.837304697024564,46.433296936375605
398786,4.391530884471297,14.57913749981553,16.501992441331087,77.85028284059035,53.60401644169034
398787,1.28005965240854,24.21920104436195,21.067461791108347,41.509806868413634,30.72387409253251
398788,3.074703585627606,12.716186807371836,11.06467353890097,48.78458336513854,36.83801042861578
