gal_number,r_half,r_half_index,z_half,z_half_index,ratio,stellar_mass,T_total_mass,gas_r_half,gas_r_half_index,gas_z_half,gas_z_half_index,gas_ratio,gas_total_mass,specific_angular_mom,h1_specific_angular_mom,gas_COM,max_R
220595,18.56852128937423,6825896.0,4.545218552804709,6785286.0,0.24478085691215992,545846263808.0,2095424471040.0,24.598474567421807,272789.0,6.047934275023943,272673.0,0.2458662328205433,21042612224.0,"[np.float64(1.1328268664093131e-14), np.float64(6.713467646225686e-14), np.float64(5.0993243755855516e-14)]","[np.float64(7.859191262280695e-14), np.float64(2.0757627938182587e-13), np.float64(1.4240698058042248e-13)]","[np.float64(9651.136240542759), np.float64(8836.613306208183), np.float64(2137.501631051827)]",684.1287895169543
220596,3.10074861895448,2479256.0,0.8940841063529891,2464623.0,0.2883445955236639,192252198912.0,197336285184.0,13.610446670137392,13795.0,3.6786552684228204,13937.0,0.2702817444260766,1399189248.0,"[np.float64(1.576731449739062e-14), np.float64(1.4263276554443148e-14), np.float64(2.0346205654947713e-14)]","[np.float64(2.8929019062066474e-14), np.float64(5.1141279032147906e-14), np.float64(8.78783358902192e-15)]","[np.float64(9534.667645609297), np.float64(8932.535063962561), np.float64(2228.437947148232)]",85.6649864551808
220597,5.029998822181692,568135.0,0.7914812719331391,556108.0,0.15735217838278642,44444057600.0,60689072128.0,9.942229375474959,56191.0,1.190902094932631,57535.0,0.11978219873605958,3872077824.0,"[np.float64(1.0184258360902912e-14), np.float64(2.649504973794055e-14), np.float64(1.2721285222382742e-14)]","[np.float64(1.8268029492337607e-14), np.float64(4.717741897277293e-14), np.float64(3.5916911316518316e-14)]","[np.float64(9508.726316688222), np.float64(8908.52818359873), np.float64(2315.745019986539)]",75.09329718627933
220598,6.209337482911523,161395.0,0.5532859969610363,158205.0,0.08910548001034141,13030795264.0,29505824768.0,10.290165106668326,52421.0,0.7967338540325101,48924.0,0.07742673181368134,3570342400.0,"[np.float64(1.5401111358232158e-14), np.float64(8.430782043525064e-15), np.float64(2.11392739313722e-14)]","[np.float64(3.167388617966961e-14), np.float64(1.0734915996765112e-14), np.float64(3.464482744569387e-14)]","[np.float64(9540.652882929762), np.float64(8983.275089507384), np.float64(2020.2333838743273)]",73.19871286462731
220599,2.4401660951387396,148482.0,0.3493962167620217,145286.0,0.14318542391769287,11420321792.0,16911736832.0,6.3036499820808025,7798.0,0.40108011755691936,7303.0,0.06362664784641563,444684672.0,"[np.float64(5.887270481482787e-16), np.float64(1.2458661426793881e-14), np.float64(2.1197567882286606e-16)]","[np.float64(1.5726797304048939e-15), np.float64(2.588611839085359e-14), np.float64(9.986994239926814e-16)]","[np.float64(9345.9454793905), np.float64(8813.647373773783), np.float64(1915.313551748407)]",55.771470727614535
220600,2.5488886428495197,130600.0,0.30562156460659123,129091.0,0.11990385121922112,10100492288.0,13709557760.0,3.2349685861799027,6376.0,0.4384263309962627,6687.0,0.13552722980657747,456875296.0,"[np.float64(4.358125934929836e-15), np.float64(3.871295996840927e-15), np.float64(9.681879592191172e-15)]","[np.float64(4.848443193882278e-15), np.float64(3.567326894352967e-15), np.float64(1.2455969686271895e-14)]","[np.float64(9920.22987678464), np.float64(8663.949881924978), np.float64(2316.540597492389)]",58.26411106701702
220601,2.7237192840797553,169450.0,0.3189974170819824,166526.0,0.11711831646768252,13443890176.0,15535462400.0,3.7352752221286405,3328.0,0.6809769546992176,3164.0,0.1823097132615427,162827008.0,"[np.float64(1.1479907920834892e-14), np.float64(9.064414556728502e-16), np.float64(8.975496483212105e-16)]","[np.float64(1.3618733919397677e-14), np.float64(4.356611736196039e-16), np.float64(4.385235528900138e-15)]","[np.float64(9559.90365971603), np.float64(8761.27126491052), np.float64(2102.0620426985047)]",39.476590036968176
220602,1.434922040785924,47414.0,0.22007753101332214,46396.0,0.15337246537295018,3564107520.0,7495377920.0,4.116900060992679,4249.0,0.30217799724293115,4264.0,0.07339940070589644,341294976.0,"[np.float64(1.29355982238817e-15), np.float64(8.850370892770829e-17), np.float64(6.809071619514056e-15)]","[np.float64(3.470709345778058e-15), np.float64(2.499455546645743e-16), np.float64(1.474362323603589e-14)]","[np.float64(9116.020260348856), np.float64(8549.128383861795), np.float64(2336.822403832531)]",78.51782862701985
220603,1.6172224466744896,90452.0,0.2577030297662096,88691.0,0.1593491546547149,6842372096.0,9186801664.0,3.618460512090048,856.0,0.3469515864068081,766.0,0.09588375643386708,56930560.0,"[np.float64(4.579880163115012e-15), np.float64(4.513999786384608e-15), np.float64(6.441760213582002e-16)]","[np.float64(1.0917628070887202e-14), np.float64(9.151145359694606e-15), np.float64(1.6568750797620858e-15)]","[np.float64(9680.258987643012), np.float64(8815.703917334016), np.float64(2445.226835167813)]",65.12158968164145
220604,,,,,,,,,,,,,,,,,
220605,,,,,,,,,,,,,,,,,
220606,,,,,,,,,,,,,,,,,
220607,1.2485808068687874,85659.0,0.2927883636921581,84991.0,0.23449692809744357,6511832064.0,6643605504.0,0.854835546370018,292.0,0.2869754111638136,264.0,0.3357083270372047,24779112.0,"[np.float64(3.0328413009912763e-15), np.float64(1.3615593333948685e-15), np.float64(4.1768774186841094e-16)]","[np.float64(2.722425000023682e-15), np.float64(1.3361545126774357e-15), np.float64(6.775228035495648e-16)]","[np.float64(9837.20752158035), np.float64(8697.558745435104), np.float64(2115.758413929804)]",19.47282586975854
220608,1.5433691188981342,26271.0,0.5893641216369204,26130.0,0.38186854616975124,2027888896.0,3073616896.0,1.2320073971519212,158.0,0.583603924677201,148.0,0.4737016401251653,8574558.0,"[np.float64(3.63204174921431e-16), np.float64(1.8714337467135197e-15), np.float64(8.144533299204684e-16)]","[np.float64(2.1670169788606455e-16), np.float64(1.9187208475670465e-15), np.float64(1.2440996782142864e-15)]","[np.float64(10061.134004153864), np.float64(8762.495225161238), np.float64(1920.2491126230334)]",43.22847341014936
220609,,,,,,,,,,,,,,,,,
220610,2.3210438383332925,36977.0,0.35542265269611345,36765.0,0.1531305212017612,2842842368.0,2843944960.0,6.167961780661716,0.0,1.0888644944767976e-16,0.0,1.765355449981373e-17,34681.6875,"[np.float64(2.209292884411669e-15), np.float64(5.415149384048674e-15), np.float64(3.8248808282590406e-15)]","[np.float64(1.6067491292562403e-15), np.float64(3.3608811071998237e-17), np.float64(4.502439924650998e-16)]","[np.float64(9640.623702374709), np.float64(8857.83793242169), np.float64(2140.3538273423324)]",20.368923282193858
220611,0.9575662332625993,6202.0,0.393807272146902,6124.0,0.41125852026457765,484164352.0,2435213568.0,3.4647645155798408,3062.0,0.3805886301356842,2659.0,0.10984545368792296,239705712.0,"[np.float64(1.9324596472498255e-16), np.float64(3.6122629181431173e-16), np.float64(4.557016573557684e-16)]","[np.float64(8.5496103607978295e-16), np.float64(3.969269697854364e-15), np.float64(6.2111409685511205e-15)]","[np.float64(9989.158607489107), np.float64(8629.016728745695), np.float64(1843.025779341951)]",30.732458081860976
220612,1.6875972467470712,21790.0,0.3840158689113673,21651.0,0.227551846064917,1678135552.0,1688267392.0,0.21536676083483675,1.0,0.01940182070224173,1.0,0.09008734972394765,244161.625,"[np.float64(2.994637497027881e-15), np.float64(1.467289351208579e-15), np.float64(1.6329778978913503e-15)]","[np.float64(1.7683530877478587e-16), np.float64(3.056172081555234e-16), np.float64(2.2560264426130724e-17)]","[np.float64(9694.64220990721), np.float64(8845.79657275229), np.float64(2312.838131624218)]",26.74425975491539
220613,0.0920814895616908,37409.0,0.02878265633832199,37411.0,0.31257809224555166,3499406848.0,3556823552.0,0.41868460292289994,31.0,0.3546862977410883,30.0,0.8471443546406295,1477168.0,"[np.float64(6.822435076181961e-18), np.float64(2.1093147787173432e-16), np.float64(7.6094117191714e-17)]","[np.float64(2.304091043713753e-16), np.float64(1.3662614599102662e-16), np.float64(4.7589820436076764e-17)]","[np.float64(9691.770808500789), np.float64(8811.245715652982), np.float64(2122.8109864263915)]",4.736199833308236
220614,1.2882498699213727,4040.0,0.2982080344907993,4025.0,0.23148306974717583,305950944.0,343189568.0,0.553438093203023,102.0,0.1599132871959251,99.0,0.28894521204788587,7339422.5,"[np.float64(6.726826412961877e-16), np.float64(5.783924966490829e-16), np.float64(2.6057418041436825e-15)]","[np.float64(4.370682560924817e-16), np.float64(1.6418806197832073e-16), np.float64(3.67392365562115e-16)]","[np.float64(9780.826414538138), np.float64(8469.582532373697), np.float64(1969.092458289666)]",51.21704799808725
220615,0.2510066598949721,1730.0,0.13874456988809963,1691.0,0.5527525442797178,116614736.0,584032960.0,2.8656895209461397,177.0,0.28097765611023734,177.0,0.09804888284529491,19922200.0,"[np.float64(9.786867053017996e-17), np.float64(7.125405263599078e-17), np.float64(6.14941623165345e-17)]","[np.float64(4.473547740090421e-16), np.float64(9.204033204912506e-16), np.float64(5.320232324651491e-16)]","[np.float64(9289.678880200498), np.float64(9084.156493734858), np.float64(1865.1008496192746)]",13.153167420649138
220616,0.4130221986637105,4085.0,0.1473981765495837,4078.0,0.3568771291869417,299050432.0,975238400.0,3.8915272774957295,1464.0,1.278300723777294,1367.0,0.3284830434491788,151464480.0,"[np.float64(2.1906561342564017e-16), np.float64(1.0823245832556928e-15), np.float64(8.167590968149825e-16)]","[np.float64(1.9632697797543804e-15), np.float64(1.1748022087494675e-17), np.float64(2.6885156803769794e-15)]","[np.float64(9642.109459468707), np.float64(8929.973774984606), np.float64(2071.7961135357073)]",21.16169669974943
220617,,,,,,,,,,,,,,,,,
220618,,,,,,,,,,,,,,,,,
220619,0.7577430701700199,1839.0,0.293674367477126,1839.0,0.38756457041729503,129347792.0,159159584.0,0.3380222798755959,28.0,0.18347889704363404,23.0,0.5428011937886483,2413550.5,"[np.float64(2.5060584376390323e-16), np.float64(2.0090383247136997e-16), np.float64(5.60826586280042e-16)]","[np.float64(7.355772494139611e-17), np.float64(7.093134896972718e-17), np.float64(1.141351503649825e-16)]","[np.float64(9749.77402441842), np.float64(9155.985646583897), np.float64(1882.6152231422934)]",35.00321626394229
220620,0.5943938567545626,12329.0,0.191892521071767,12409.0,0.3228373222420489,947907904.0,1024786112.0,0.693774420233651,137.0,0.29923828307821165,125.0,0.4313192795108149,9861833.0,"[np.float64(1.283421690458343e-16), np.float64(4.621035647042781e-16), np.float64(5.179220905420672e-16)]","[np.float64(1.6972224241675942e-17), np.float64(2.141725945237582e-15), np.float64(1.6440415340449075e-15)]","[np.float64(9552.29946026323), np.float64(8948.380185832682), np.float64(2084.555729414715)]",16.28588128038125
220621,,,,,,,,,,,,,,,,,
220622,,,,,,,,,,,,,,,,,
220623,,,,,,,,,,,,,,,,,
220624,,,,,,,,,,,,,,,,,
220625,,,,,,,,,,,,,,,,,
220626,,,,,,,,,,,,,,,,,
220627,,,,,,,,,,,,,,,,,
220628,,,,,,,,,,,,,,,,,
220629,,,,,,,,,,,,,,,,,
220630,,,,,,,,,,,,,,,,,
220631,,,,,,,,,,,,,,,,,
220632,,,,,,,,,,,,,,,,,
220633,,,,,,,,,,,,,,,,,
220634,,,,,,,,,,,,,,,,,
220635,,,,,,,,,,,,,,,,,
220636,,,,,,,,,,,,,,,,,
220638,,,,,,,,,,,,,,,,,
220639,,,,,,,,,,,,,,,,,
220640,,,,,,,,,,,,,,,,,
220643,,,,,,,,,,,,,,,,,
220644,,,,,,,,,,,,,,,,,
220645,,,,,,,,,,,,,,,,,
220646,,,,,,,,,,,,,,,,,
220648,,,,,,,,,,,,,,,,,
220649,,,,,,,,,,,,,,,,,
220650,,,,,,,,,,,,,,,,,
220651,,,,,,,,,,,,,,,,,
220652,,,,,,,,,,,,,,,,,
220654,,,,,,,,,,,,,,,,,
220655,,,,,,,,,,,,,,,,,
220656,,,,,,,,,,,,,,,,,
220658,,,,,,,,,,,,,,,,,
220659,,,,,,,,,,,,,,,,,
220662,,,,,,,,,,,,,,,,,
220664,,,,,,,,,,,,,,,,,
220665,,,,,,,,,,,,,,,,,
220668,,,,,,,,,,,,,,,,,
220669,,,,,,,,,,,,,,,,,
220675,,,,,,,,,,,,,,,,,
220676,,,,,,,,,,,,,,,,,
220677,,,,,,,,,,,,,,,,,
220678,,,,,,,,,,,,,,,,,
220679,,,,,,,,,,,,,,,,,
220681,,,,,,,,,,,,,,,,,
220684,,,,,,,,,,,,,,,,,
220686,,,,,,,,,,,,,,,,,
220687,,,,,,,,,,,,,,,,,
220688,,,,,,,,,,,,,,,,,
220689,,,,,,,,,,,,,,,,,
220691,,,,,,,,,,,,,,,,,
220694,,,,,,,,,,,,,,,,,
220695,,,,,,,,,,,,,,,,,
220697,,,,,,,,,,,,,,,,,
220698,,,,,,,,,,,,,,,,,
220699,,,,,,,,,,,,,,,,,
220700,,,,,,,,,,,,,,,,,
220702,,,,,,,,,,,,,,,,,
220704,,,,,,,,,,,,,,,,,
220706,,,,,,,,,,,,,,,,,
220709,,,,,,,,,,,,,,,,,
220714,,,,,,,,,,,,,,,,,
220715,,,,,,,,,,,,,,,,,
220716,,,,,,,,,,,,,,,,,
220721,,,,,,,,,,,,,,,,,
220722,,,,,,,,,,,,,,,,,
220723,,,,,,,,,,,,,,,,,
220728,,,,,,,,,,,,,,,,,
220732,,,,,,,,,,,,,,,,,
220740,,,,,,,,,,,,,,,,,
220742,,,,,,,,,,,,,,,,,
220744,,,,,,,,,,,,,,,,,
220748,,,,,,,,,,,,,,,,,
220756,,,,,,,,,,,,,,,,,
220757,,,,,,,,,,,,,,,,,
220761,,,,,,,,,,,,,,,,,
220762,,,,,,,,,,,,,,,,,
220765,,,,,,,,,,,,,,,,,
220767,,,,,,,,,,,,,,,,,
220768,,,,,,,,,,,,,,,,,
220774,,,,,,,,,,,,,,,,,
220778,,,,,,,,,,,,,,,,,
220780,,,,,,,,,,,,,,,,,
220785,,,,,,,,,,,,,,,,,
220787,,,,,,,,,,,,,,,,,
220794,,,,,,,,,,,,,,,,,
220796,,,,,,,,,,,,,,,,,
220823,,,,,,,,,,,,,,,,,
220832,,,,,,,,,,,,,,,,,
220848,,,,,,,,,,,,,,,,,
220851,,,,,,,,,,,,,,,,,
220867,,,,,,,,,,,,,,,,,
220884,,,,,,,,,,,,,,,,,
220908,,,,,,,,,,,,,,,,,
220990,,,,,,,,,,,,,,,,,
220993,,,,,,,,,,,,,,,,,
221005,,,,,,,,,,,,,,,,,
221015,,,,,,,,,,,,,,,,,
289387,4.283316385189142,62648.0,0.5543897645780933,61426.0,0.12943002914635562,4834683392.0,14620952576.0,7.739394375270172,28395.0,0.5306235840515958,27485.0,0.06856138327142328,2892506368.0,"[np.float64(4.225175218435094e-15), np.float64(3.8054266487307494e-15), np.float64(1.334305400573321e-14)]","[np.float64(9.752796881194344e-15), np.float64(6.0987818202719595e-15), np.float64(2.778695269382406e-14)]","[np.float64(316.2924241208563), np.float64(15881.401824155593), np.float64(11821.332261992762)]",136.9820849234353
289389,0.6075962764740112,65245.0,0.19445610476777006,65148.0,0.3200416333955061,4925091840.0,8582941696.0,5.182720158812248,1837.0,0.6984474654247258,1669.0,0.1347646494548131,206040368.0,"[np.float64(2.4360448394687457e-16), np.float64(2.8765055586704225e-16), np.float64(6.282804946081107e-16)]","[np.float64(1.170727924983207e-15), np.float64(1.7138674792900964e-14), np.float64(9.185323785125522e-15)]","[np.float64(382.50816587295117), np.float64(15483.77817724891), np.float64(12027.752839225817)]",140.76980019783056
289390,1.6003777586098622,35920.0,0.34240978283472634,35745.0,0.2139555995405448,2765972992.0,3609589760.0,0.9779815778744579,120.0,0.25814963637318106,132.0,0.26396165552958845,9777849.0,"[np.float64(3.0234718302300065e-15), np.float64(8.046450632107434e-17), np.float64(1.6171972093565398e-15)]","[np.float64(1.7554132543145626e-15), np.float64(4.3878248739774213e-16), np.float64(1.1131770407966484e-15)]","[np.float64(238.70621242364933), np.float64(15714.62990799209), np.float64(11911.971752860956)]",115.68191828422461
289391,2.139871260783333,25489.0,0.36650445417519767,25110.0,0.17127406722637745,2000900608.0,4551208960.0,4.266930944532924,5876.0,0.396156389628539,5770.0,0.09284340308720508,481809632.0,"[np.float64(2.5046536347082725e-15), np.float64(2.797080321515496e-15), np.float64(2.8535280337725443e-15)]","[np.float64(6.2575697208364305e-15), np.float64(6.564091606608393e-15), np.float64(7.353856403288706e-15)]","[np.float64(1066.486519492038), np.float64(15888.758882353433), np.float64(11738.59530580437)]",74.27934387353484
289393,0.7395609025225617,1533.0,0.21989248135360978,1516.0,0.2973284290767406,121692880.0,2471546624.0,4.46079000366754,4384.0,0.42528338906660507,4347.0,0.09533813264398204,528483296.0,"[np.float64(1.0979769659556982e-15), np.float64(8.495047708383806e-16), np.float64(3.1784577784394764e-16)]","[np.float64(6.616271390908697e-15), np.float64(4.627136253342351e-15), np.float64(1.2218615407206807e-15)]","[np.float64(642.6766506619444), np.float64(15415.52006042979), np.float64(12021.772809209724)]",19.36668674112031
289395,1.5410012519884384,9819.0,0.32077008779224725,9702.0,0.208156928736002,747371904.0,3583976448.0,3.7425264417762314,4015.0,0.6741611508622506,4549.0,0.18013530735197386,476869472.0,"[np.float64(1.4681083472296954e-16), np.float64(3.174661521321909e-15), np.float64(3.2266133843417037e-16)]","[np.float64(9.620828359472579e-17), np.float64(6.574440737131989e-15), np.float64(1.253930053253443e-15)]","[np.float64(1177.0806037084715), np.float64(15837.46632155841), np.float64(11953.760560150102)]",33.0462860156087
289396,0.5739676602581183,2948.0,0.21043822738532922,2935.0,0.366637777624428,237694080.0,1626695552.0,2.1174950881591643,1538.0,0.32021101981020544,1527.0,0.15122161161118894,138635040.0,"[np.float64(3.898448742379687e-16), np.float64(1.22282379632277e-16), np.float64(2.279309553874721e-16)]","[np.float64(1.6919396111987427e-15), np.float64(1.8185508259071307e-15), np.float64(2.2371130306933827e-15)]","[np.float64(177.77644198668128), np.float64(15676.16734103774), np.float64(11806.484753884577)]",23.908829465563347
289400,0.7697060999510434,2768.0,0.2419579660915264,2773.0,0.31435110895823215,211082352.0,514026048.0,1.3900596454232317,530.0,0.19685659053509844,506.0,0.14161736957349155,51299012.0,"[np.float64(7.720398946184754e-16), np.float64(2.8109384603306404e-16), np.float64(5.852251648128213e-16)]","[np.float64(1.814159062221886e-15), np.float64(4.898691958877325e-16), np.float64(9.921531314294374e-16)]","[np.float64(476.0719625435929), np.float64(15854.772324012156), np.float64(11824.414107221137)]",36.67005363389925
