,bincenters,v_obs,v_bar,v_tot
0,0.1607550296655326,1.1281516818141567e-14,82002.65526540157,84086.46173661803
1,0.4822650889965978,0.0,0.0,0.0
2,0.803775148327663,1.3732452762659094e-14,425559.64571416145,440345.33399877
3,1.1252852076587283,1.3073807301143806e-14,433652.9577086106,454923.24541654927
4,1.4467952669897932,1.4155392483201872e-14,419405.2697005385,446821.63749518234
5,1.7683053263208586,1.42957062476413e-14,404780.6858419713,437261.5140672992
6,2.0898153856519235,1.3514211342671957e-14,391558.66895060166,429197.67016677477
7,2.411325444982989,1.3475097787259263e-14,379958.1701443418,422328.38192378735
8,2.732835504314054,1.3749448934836788e-14,371522.0242933178,418068.8522930069
9,3.0543455636451196,1.4026739245857833e-14,362651.3027162937,413157.5514586396
10,3.3758556229761845,1.3456587943260516e-14,354632.43487189943,408862.45855775254
11,3.69736568230725,1.2491224965626329e-14,347237.7268448361,404950.3610921458
12,4.018875741638315,1.2485203620529447e-14,340419.44229678885,401645.76648746827
13,4.34038580096938,1.2949782827392372e-14,334091.36985316756,398865.39191782963
14,4.6618958603004454,1.3129744147510914e-14,328308.19287209946,396313.39262329915
15,4.98340591963151,1.2693904565956212e-14,322694.03201385034,393735.46674144594
16,5.304915978962576,1.2441173649928111e-14,317454.7632867506,391269.0942414913
17,5.626426038293641,1.2386945955669795e-14,312530.92285171745,389120.04940464365
18,5.947936097624706,1.2378789717858798e-14,307887.6297371514,387111.05444209493
19,6.269446156955771,1.2421004744507123e-14,303809.14024289045,385578.9333727602
20,6.590956216286836,1.252376643165966e-14,299854.05752895464,383914.8901421523
21,6.912466275617902,1.211138885621792e-14,296320.56097362685,382505.79397229507
22,7.2339763349489665,1.2364611043579972e-14,292523.38892203226,380877.65610027587
23,7.555486394280033,1.2287865257240123e-14,289136.9703398385,379487.86003776314
24,7.876996453611097,1.2237068745560055e-14,285658.05891299166,377857.59468941274
25,8.198506512942163,1.2192370755190547e-14,282368.8212064182,376483.54313171277
26,8.520016572273228,1.2605028210091063e-14,279148.6909646847,375095.83148275776
27,8.841526631604292,1.2299634159892664e-14,276201.9804294453,373860.7185541557
28,9.163036690935357,1.2160512043320358e-14,273450.42913123657,372759.25545972754
29,9.484546750266423,1.2338800140734509e-14,270742.2581542249,371480.16216604685
30,9.80605680959749,1.2442286992948235e-14,268180.6934968485,370312.44103807054
31,10.127566868928554,1.2191860003120416e-14,265480.1044420128,369107.5558994471
32,10.449076928259618,1.2222041696886029e-14,262984.5653899562,367958.2554234209
33,10.770586987590683,1.2259800082063967e-14,260353.3226416675,366664.3321173766
34,11.092097046921749,1.2142939236113931e-14,257929.43476129204,365508.9058222197
35,11.413607106252815,1.197567054102733e-14,255535.33114842573,364258.09915780916
36,11.73511716558388,1.2116007911507826e-14,253247.524204375,363153.90168946673
37,12.056627224914944,1.2014350000670843e-14,251093.5114061808,362049.2246641383
38,12.378137284246009,1.2095217843450466e-14,248950.12098266004,360999.96780297125
39,12.699647343577075,1.2131166614333166e-14,246839.6536063236,359959.75110984105
40,13.021157402908141,1.1971077333532934e-14,244781.3858513509,358909.01658781857
41,13.342667462239206,1.2052467920574141e-14,242712.66560971583,357849.08147513575
42,13.66417752157027,1.2082275954402023e-14,240706.40022858855,356823.71566232934
43,13.985687580901335,1.1956311952363232e-14,238747.7106715369,355797.03380757384
44,14.3071976402324,1.193500660905742e-14,236777.32825816114,354660.2248067617
45,14.628707699563467,1.1951111907922778e-14,234810.10425523785,353537.71516566124
46,14.950217758894532,1.1927448991612668e-14,232885.03652807183,352459.788835043
47,15.271727818225596,1.1932343238097863e-14,231014.48630587268,351466.3437396625
48,15.593237877556662,1.1929563620353724e-14,229156.35405581366,350451.29546273145
49,15.914747936887727,1.184322131201514e-14,227290.23922923888,349460.7604641956
50,16.23625799621879,1.198359650475091e-14,225469.0281269383,348448.77237691253
51,16.557768055549857,1.1882484149849712e-14,223631.1137593719,347516.9214226696
52,16.879278114880925,1.2208481062460853e-14,221828.5682858304,346534.3673565695
53,17.200788174211986,1.2397754639670262e-14,220016.32635162317,345535.41490941355
54,17.522298233543054,1.2610637067347111e-14,218240.98864207568,344531.6116311477
55,17.843808292874115,1.2616543986615495e-14,216489.46576070835,343552.2885501549
56,18.165318352205183,1.2828138859017464e-14,214782.0811803748,342633.10632356175
57,18.48682841153625,1.2795664003185549e-14,213111.8030229204,341758.01475818944
58,18.808338470867312,1.2488510420486627e-14,211473.55636107136,340838.7093150734
59,19.12984853019838,1.2780018210161849e-14,209869.447337587,339942.9344132947
60,19.45135858952944,1.2818818627101184e-14,208292.20847976618,339026.8677807178
61,19.77286864886051,1.283685632626922e-14,206738.26399145648,338152.24338895635
62,20.094378708191577,1.26884721228493e-14,205214.6321652137,337263.1485096712
63,20.415888767522638,1.1977528571620022e-14,203718.90622782832,336373.5781229998
64,20.737398826853706,0.0,0.0,0.0
65,21.058908886184767,1.1112222607107605e-14,200815.98402941137,334724.7344613118
66,21.380418945515835,1.1101496911089718e-14,199407.1709922798,333886.45015683206
67,21.701929004846903,1.1072019312632055e-14,198025.87304232715,333086.69261587976
68,22.023439064177964,1.106324165789002e-14,196674.0846739018,332382.7859071446
69,22.344949123509032,1.0891968093228396e-14,195351.64126110007,331693.6007175595
70,22.666459182840093,1.0870731263952677e-14,194057.36593167053,331006.973755415
71,22.98796924217116,1.0705756655778499e-14,192786.48257103885,330310.2911117662
72,23.30947930150223,1.0451053855552317e-14,191541.10319813047,329588.5581177021
73,23.63098936083329,0.0,0.0,0.0
74,23.952499420164358,9.392040641033383e-15,189127.48887423414,328180.6181666191
75,24.27400947949542,9.284973076326123e-15,187948.05821929392,327491.2057263431
76,24.595519538826487,9.067304546745632e-15,186791.44318393935,326833.84596884885
77,24.917029598157555,8.96664583172606e-15,185654.7434518141,326184.6480796416
78,25.238539657488616,8.719117299565783e-15,184539.7257642482,325563.9830241933
79,25.560049716819684,8.742585140184784e-15,183445.04479605408,324967.5029511914
80,25.881559776150745,8.591553390185003e-15,182371.99045355283,324357.70520576666
81,26.203069835481813,8.749334874376164e-15,181317.79870580742,323787.8951567016
82,26.52457989481288,8.864433272802977e-15,180283.57379113615,323226.2600352043
83,26.84608995414394,8.927202769590062e-15,179267.60104620823,322651.0207255645
84,27.16760001347501,9.02719053444721e-15,178269.10000848718,322104.3857508811
85,27.48911007280607,8.95300750504608e-15,177288.58272966894,321573.13257046184
86,27.81062013213714,9.053717398955562e-15,176327.08206951793,321085.6645610869
87,28.132130191468207,9.350604564665004e-15,175382.6041749344,320572.60967846157
88,28.453640250799268,9.366445921628628e-15,174455.14705405888,320076.190765195
89,28.775150310130336,9.006424745866652e-15,173543.0491193715,319673.2943422891
90,29.096660369461397,9.15283564209648e-15,172648.07799253965,319256.6238475053
91,29.418170428792465,9.051308909572804e-15,171766.01062899036,318766.99544300337
92,29.739680488123533,8.942655670039131e-15,170901.84039294635,318299.5393370623
93,30.061190547454594,8.68842898192295e-15,170048.5010836728,317903.6485608938
94,30.38270060678566,8.59849532635683e-15,169212.66554457418,317499.98894964665
95,30.704210666116726,8.383925866273837e-15,168388.55538614307,317035.0562905988
96,31.02572072544779,8.231680208373762e-15,167578.642554414,316643.65196380415
97,31.34723078477886,8.094091162320073e-15,166780.77010812634,316202.4385391474
